episode,total_reward,episode_length,is_success,curriculum_radius,consecutive_successes
1,-126.746501,225,1,0.10360972,1
2,-171.392636,250,0,0.10360972,0
3,-213.404739,250,0,0.10360972,0
4,-319.746837,250,0,0.10360972,0
5,-158.636158,250,0,0.10360972,0
6,-118.351397,250,0,0.10360972,0
7,-215.172939,250,0,0.10360972,0
8,-336.942607,250,0,0.10360972,0
9,25.341941,7,1,0.10360972,1
10,21.184619,16,1,0.10360972,2
11,-53.950964,143,1,0.10360972,3
12,-135.339116,250,0,0.10360972,0
13,-126.601078,250,0,0.10360972,0
14,-145.411113,250,0,0.10360972,0
15,-214.807655,250,0,0.10360972,0
16,-195.078993,250,0,0.10360972,0
17,-184.529702,250,0,0.10360972,0
18,-170.179158,250,0,0.10360972,0
19,-146.33813,250,0,0.10360972,0
20,-135.934973,250,0,0.10360972,0
21,-184.413953,250,0,0.10360972,0
22,-93.983871,250,0,0.10360972,0
23,-200.777743,250,0,0.10360972,0
24,-119.516332,250,0,0.10360972,0
25,-176.931171,250,0,0.10360972,0
26,-235.235328,250,0,0.10360972,0
27,-74.138129,250,0,0.10360972,0
28,-81.810026,250,0,0.10360972,0
29,-72.058643,228,1,0.10360972,1
30,-88.562704,250,0,0.10360972,0
31,-177.95066,250,0,0.10360972,0
32,-200.885915,250,0,0.10360972,0
33,22.921295,30,1,0.10360972,1
34,-118.450335,250,0,0.10360972,0
35,-251.518025,250,0,0.10360972,0
36,21.319862,31,1,0.10360972,1
37,-22.715683,125,1,0.10360972,2
38,-155.328676,250,0,0.10360972,0
39,-99.429135,218,1,0.10360972,1
40,-171.986174,250,0,0.10360972,0
41,-83.019825,250,0,0.10360972,0
42,-118.658197,250,0,0.10360972,0
43,-81.381389,250,0,0.10360972,0
44,21.553673,20,1,0.10360972,1
45,-148.026595,250,0,0.10360972,0
46,10.952733,49,1,0.10360972,1
47,-31.21139,197,1,0.10360972,2
48,-120.011272,250,0,0.10360972,0
49,-105.94555,250,0,0.10360972,0
50,-185.351041,250,0,0.10360972,0
51,-175.317605,250,0,0.10360972,0
52,-139.922285,250,0,0.10360972,0
53,-115.89778,250,0,0.10360972,0
54,-186.517851,250,0,0.10360972,0
55,-214.515078,250,0,0.10360972,0
56,-102.67734,250,0,0.10360972,0
57,-139.802622,250,0,0.10360972,0
58,26.166952,2,1,0.10360972,1
59,-77.852114,250,0,0.10360972,0
60,-175.353335,250,0,0.10360972,0
61,-153.295245,250,0,0.10360972,0
62,-189.973317,250,0,0.10360972,0
63,-230.341396,250,0,0.10360972,0
64,-193.044515,250,0,0.10360972,0
65,-172.466985,250,0,0.10360972,0
66,-166.460054,250,0,0.10360972,0
67,-126.380104,250,0,0.10360972,0
68,-183.675081,250,0,0.10360972,0
69,-136.491971,250,0,0.10360972,0
70,-106.451827,250,0,0.10360972,0
71,-95.905478,250,0,0.10360972,0
72,-161.7684,250,0,0.10360972,0
73,-100.201703,250,0,0.10360972,0
74,-197.095605,250,0,0.10360972,0
75,25.073968,2,1,0.10360972,1
76,-110.637148,250,0,0.10360972,0
77,-223.6205,250,0,0.10360972,0
78,-203.563977,250,0,0.10360972,0
79,-169.346826,250,0,0.10360972,0
80,25.152858,1,1,0.10360972,1
81,-101.035679,250,0,0.10360972,0
82,-221.574341,250,0,0.10360972,0
83,-186.169482,250,0,0.10360972,0
84,-179.308799,250,0,0.10360972,0
85,-138.727813,250,0,0.10360972,0
86,-74.558705,250,0,0.10360972,0
87,-177.16306,250,0,0.10360972,0
88,-172.764028,250,0,0.10360972,0
89,-230.324748,250,0,0.10360972,0
90,19.883382,41,1,0.10360972,1
91,-133.731563,250,0,0.10360972,0
92,21.002792,28,1,0.10360972,1
93,-178.754162,250,0,0.10360972,0
94,12.400286,78,1,0.10360972,1
95,25.745164,1,1,0.10360972,2
96,-161.541111,250,0,0.10360972,0
97,-108.713782,250,0,0.10360972,0
98,-209.633635,250,0,0.10360972,0
99,-94.42204,250,0,0.10360972,0
100,23.641076,5,1,0.10360972,1
101,14.499183,27,1,0.10360972,2
102,-147.388979,250,0,0.10360972,0
103,-133.593207,250,0,0.10360972,0
104,-106.944707,250,0,0.10360972,0
105,25.761748,2,1,0.10360972,1
106,12.432251,65,1,0.10360972,2
107,-36.475702,198,1,0.10360972,3
108,-84.344999,250,0,0.10360972,0
109,-206.186738,250,0,0.10360972,0
110,-111.377923,250,0,0.10360972,0
111,-136.756495,250,0,0.10360972,0
112,-241.16961,250,0,0.10360972,0
113,-122.41887,250,0,0.10360972,0
114,-213.216354,250,0,0.10360972,0
115,-125.765731,250,0,0.10360972,0
116,-318.559674,250,0,0.10360972,0
117,-107.18777,250,0,0.10360972,0
118,-179.810132,250,0,0.10360972,0
119,-198.434626,250,0,0.10360972,0
120,-65.330299,250,0,0.10360972,0
121,-264.014578,250,0,0.10360972,0
122,-202.067268,250,0,0.10360972,0
123,25.433606,7,1,0.10360972,1
124,25.062665,18,1,0.10360972,2
125,-184.375169,250,0,0.10360972,0
126,-116.876061,250,0,0.10360972,0
127,-285.719189,250,0,0.10360972,0
128,-122.564528,250,0,0.10360972,0
129,-163.089788,250,0,0.10360972,0
130,-145.102171,250,0,0.10360972,0
131,-127.834425,250,0,0.10360972,0
132,-92.406822,250,0,0.10360972,0
133,-86.080177,250,0,0.10360972,0
134,-160.001856,250,0,0.10360972,0
135,-126.674081,250,0,0.10360972,0
136,26.409075,3,1,0.10360972,1
137,-138.224775,250,0,0.10360972,0
138,-81.30289,250,0,0.10360972,0
139,-105.782073,246,1,0.10360972,1
140,25.805507,7,1,0.10360972,2
141,-192.972333,250,0,0.10360972,0
142,-270.569851,250,0,0.10360972,0
143,-157.699,250,0,0.10360972,0
144,-168.306357,250,0,0.10360972,0
145,-101.433135,250,0,0.10360972,0
146,-14.510412,168,1,0.10360972,1
147,25.261474,11,1,0.10360972,2
148,26.42891,9,1,0.10360972,3
149,-138.397572,250,0,0.10360972,0
150,25.55148,1,1,0.10360972,1
151,-101.881249,250,0,0.10360972,0
152,-152.248008,250,0,0.10360972,0
153,-156.645234,250,0,0.10360972,0
154,-120.914406,250,0,0.10360972,0
155,-128.862228,250,0,0.10360972,0
156,-116.497829,250,0,0.10360972,0
157,-174.527744,250,0,0.10360972,0
158,19.314113,52,1,0.10360972,1
159,-218.982586,250,0,0.10360972,0
160,-99.16139,250,0,0.10360972,0
161,-86.714565,250,0,0.10360972,0
162,20.881199,14,1,0.10360972,1
163,-147.462282,250,0,0.10360972,0
164,-96.401225,250,0,0.10360972,0
165,-135.041435,250,0,0.10360972,0
166,-151.005541,250,0,0.10360972,0
167,-127.769656,250,0,0.10360972,0
168,20.912014,8,1,0.10360972,1
169,-128.089167,250,0,0.10360972,0
170,-91.952049,250,0,0.10360972,0
171,-204.599976,250,0,0.10360972,0
172,-136.693999,250,0,0.10360972,0
173,-105.849125,250,0,0.10360972,0
174,-129.086903,250,0,0.10360972,0
175,-119.100736,250,0,0.10360972,0
176,-36.631899,218,1,0.10360972,1
177,-95.481161,250,0,0.10360972,0
178,-155.987145,250,0,0.10360972,0
179,-91.408862,250,0,0.10360972,0
180,-147.765434,250,0,0.10360972,0
181,25.440197,6,1,0.10360972,1
182,-86.253292,250,0,0.10360972,0
183,-140.945783,250,0,0.10360972,0
184,-201.064523,250,0,0.10360972,0
185,-100.380334,250,0,0.10360972,0
186,-34.054788,176,1,0.10360972,1
187,-46.87455,250,0,0.10360972,0
188,-104.652092,250,0,0.10360972,0
189,-164.171672,250,0,0.10360972,0
190,-112.376458,250,0,0.10360972,0
191,-27.508759,148,1,0.10360972,1
192,-215.895522,250,0,0.10360972,0
193,-132.958201,250,0,0.10360972,0
194,-19.236975,184,1,0.10360972,1
195,-262.356264,250,0,0.10360972,0
196,-192.364222,250,0,0.10360972,0
197,-101.464671,250,0,0.10360972,0
198,-156.714692,250,0,0.10360972,0
199,-128.487758,250,0,0.10360972,0
200,17.990068,27,1,0.10360972,1
201,-142.582852,250,0,0.10360972,0
202,-136.588431,250,0,0.10360972,0
203,-115.267686,250,0,0.10360972,0
204,-187.394218,250,0,0.10360972,0
205,-195.961863,250,0,0.10360972,0
206,-173.583062,250,0,0.10360972,0
207,-122.292835,250,0,0.10360972,0
208,-171.642491,250,0,0.10360972,0
209,-191.095841,250,0,0.10360972,0
210,-224.274728,250,0,0.10360972,0
211,6.919294,78,1,0.10360972,1
212,-219.233972,250,0,0.10360972,0
213,-145.913827,250,0,0.10360972,0
214,-133.273158,250,0,0.10360972,0
215,-155.926341,250,0,0.10360972,0
216,-107.884821,250,0,0.10360972,0
217,-115.076912,250,0,0.10360972,0
218,24.320598,20,1,0.10360972,1
219,-151.133895,250,0,0.10360972,0
220,-128.871507,250,0,0.10360972,0
221,-168.898811,250,0,0.10360972,0
222,-52.18746,196,1,0.10360972,1
