#{"t_start": 1750312550.00686, "env_id": "None"}
r,l,t
-303.493349,250,1.469219
-177.828681,250,2.895451
-95.144332,250,4.154516
-114.558168,250,5.406608
-97.030362,250,6.678362
--107.545047,250,7.938623
-141.599496,250,9.195302
--155.220607,250,10.46-125-75.934064,250,29.97164-10-102.674096,250,31.18765-92-202.96351,250,32.47105-86-134.889315,250,33.7184-226-77.697159,250,35.13388-59.-158.797501,250,35.342-174.-188.421252,250,36.557-153.-125.785907,250,37.92--153.-126.145313,250,39.3---110.-85.62265,250,56.98--97.3-61.710469,250,58.30047
-66.050814,250,59.459978
20.558905,37,59.-85.730664,250,60.754651
-89.684737,250,61.976068
-73.979034,250,63.310282
-108.868808,250,64.682748
-70.861989,250,66.051528
-138.092688,250,89.202059
-128.655323,250,90.528072
22.866448,7,90.574726-5-91.143004,250,91.796569
-90.473268,250,93.155727
-106.006808,250,94.506815
8.515238,66,94.885245
-80.864398,250,96.118564
-85.395813,250,97.40426
-112.186236,250,98.657391
-75.73328,250,116.304771
12.4342-73.063083,250,117-31.61106-119.914331,250,118.500293
25.027242,18,1-68.649669,-4.774852,162,119.432767
-144.031602,250,120.756891
26.745235,2,120.786275
-247.228871,250,122.06952
-121.421992,250,123.323555
-76.729033,250,124.707456
-63.284425,250,126.001208
-46.111302,250,144.145036
-205.619815,250,145.388158
-53.737241,250,146.841435
-76.293628,250,148.284692
-50.935957,250,149.764357
-49.506841,250,151.086758
-90.523081,250,152.379062
-101.769649,250,153.70384
-73.111678,250,171.976126
-96.604655,250,177.319591
25.73415,27,177.474213
-56.07048,250,178.902667
10.813663,81,179.331935
-98.494449,250,180.777477
17.61839,93,181.246385
15.453236,68,181.569181
-108.58139,250,182.887895
8.806185,125,183.581906
-7.709379,208,184.764229
19.616199,59,185.063231
-38.750622,250,206.365086
-50.586624,250,207.679559
17.024327,78,208.090422
-123.025486,250,209.463419
-77.078673,224,210.585569
-85.484963,250,211.976732
-35.768716,250,213.216448
21.128918,59,213.500353
-4.199214,154,214.387877
-4.967766,154,215.193833
25.512702,14,215.26272
-92.175771,250,216.775566
1.802555,165,234.451564
-91.18,250,235.752753
5.628027,46,235.988.6534-9.066428,232,237.4-36.244759,250,237.944842
-88.357456,250,239.48274
23.165675,51,239.797621
29.255854,12,239.878778
-35.861742,195,241.132115
-94.50406,250,242.639786
12.282022,91,243.15778
27.8366-157.747467,250,24-70.968258,250,244.731965
-46.687327,250,263.187079
26.224327-43.025432,250,264.457595
-19.392765,194,269.365267
27.689046,26,269.522482
-7.020435,83,270.040349
-163.670975,250,271.345388
-278.172327,250,272.803479
-38.854472,250,274.105373
-59.035506,250,275.653286
-1.562218,244,276.919195
-36.408818,250,278.241555
29.443203,29,278.389328
-38.182769,250,296.557971
21.371607,36,296.734327
-215.620269,250,298.089945
5.013888,163,298.911453
25.716378,14,298.995333
-103.344538,250,300.40236
11.017383,64,300.778769
14.802315,85,301.219283
8.044065,91,301.677473
23.687403,29,301.81697
-60.591475,250,303.199432
-2.300501,245,304.601757
-180.269278,250,305.986409
-54.103055,250,323.574896
24.803637,11,323.633798
22.046285,48,323.907283
26.708708,21,324.029014
-206.746911,250,325.469524
20.301788,36,325.66617
-134.629821,250,326.920456
28.080298,1-167.516779,250,327.389429
-28.071819,250,328.727088
24.322095,32,328.909936
-253.117258,250,330.247713
-3.453049,111,330.822579
23.083191,68,331.174196
-7.970936,225,332.399584
22.0920-213.793147,250,33-112.84365-120.478237,250,35-209.009604,250,351.991687
-28.56917,250,357.24323
-38.558282,250,358.60742
2.35926,194,359.558338
26.708644,19,359.654147
19.754786,84,360.148275
-52.952658,250,361.453307
18.086865,94,361.982851
-34.866806,250,363.369158
-69.149391,250,364.773993
-106.123593,250,382.463562
-29.9749,250,383.791172
-111.635166,203,384.839839
23.285668,48,385.155807
27.237288,20,385.291966
12.80977,120,385.899446
-108.121539,250,387.128583
21.99219-14.716224,186,38-24.449644,250,388.887435
-42.63714,82,389.31114
16.99432-47.151928,250,38-105.992814,250,391.091734
10.5117-50.76243,250,391.19.1803321.567936,58,392.-11.66928,132,392.570074
14.19-156.654151,250,410.93373
29.042442,23,411.063196
-114.284531,250,412.36164
-48.724084,250,413.884791
26.086847,35,414.067517
-134.488815,250,415.371225
-158.853083,250,416.735419
25.632115,1,416.746417
17.438396,88,417.157656
-25.734955,250,418.515343
-53.286597,250,419.825148
25.324504,12,419.899805
23.188337,44,420.130813
10.57193,114,420.750479
16.208062,62,437.439322
25.555489,25,437.613094
-36.695372,250,439.045139
12.669135,41,439.240969
-56.399624,250,444.472649
-128.287889,250,446.127496
-156.88016,250,447.522923
5.429543,93,448.044359
4.682277,148,448.888978
-154.358766,250,450.179914
9.326369,55,450.469373
-33.831183,250,451.828276
-25.076378,250,469.768204
-39.871813,250,471.170199
27.932376,37,471.349626
-222.591122,250,472.641607
-40.414574,250,474.090617
10.513568,165,475.040219
-189.280971,250,476.406458
