curriculum/radius,rollout/ep_len_mean,time/iterations,time/fps,time/time_elapsed,rollout/ep_rew_mean,rollout/success_rate,time/total_timesteps,train/clip_fraction,train/clip_range,train/policy_gradient_loss,train/value_loss,train/entropy_loss,train/n_updates,train/std,train/explained_variance,train/loss,train/approx_kl,train/learning_rate,eval/mean_ep_length,eval/success_rate,eval/mean_reward
0.10360972,223.87142857142857,1,1526,10,-128.81345959999996,0.12857142857142856,16384,,,,,,,,,,,,,,
0.10360972,206.6,2,825,39,-98.64459371999999,0.23,32768,0.109759521484375,0.2560204063533433,-0.017434621508982673,8.016223669797181,-7.084639326483011,10,0.9971846342086792,0.008686602115631104,2.926604747772217,0.017315952,7.591104805282687e-05,,,
0.10360972,192.68,3,737,66,-68.37068576000001,0.32,49152,0.120880126953125,0.2560204063533433,-0.01666274778872321,7.470976087264717,-7.056356547027827,20,0.9883233308792114,0.06331348419189453,1.948335886001587,0.020667199,7.591104805282687e-05,,,
0.10360972,,,,,,False,50000,0.093731689453125,0.2560204063533433,-0.01233596876863885,8.442991665750743,-7.019914084672928,30,0.982028603553772,0.09513610601425171,4.129353046417236,0.019871477,7.591104805282687e-05,250.0,0.0,-111.0872747
0.10360972,192.08,4,661,99,-59.63173007,0.32,65536,,,,,,,,,,,,,,
0.15541458,164.13,5,649,126,-54.11095794999999,0.47,81920,0.10028076171875,0.2560204063533433,-0.013319202583443258,7.369491683226078,-6.981555224582553,40,0.974695086479187,0.1450762152671814,2.694683074951172,0.017567594,7.591104805282687e-05,,,
0.2590243,173.83,6,636,154,-45.03379659000001,0.44,98304,0.077423095703125,0.2560204063533433,-0.006603572178664763,13.008473809063435,-6.959196195751429,50,0.9720340967178345,-0.03805112838745117,8.122296333312988,0.012684802,7.591104805282687e-05,,,
0.2590243,,,,,,True,100000,0.0809814453125,0.2560204063533433,-0.00688293397124653,10.648099143058062,-6.9352892227470875,60,0.9671562314033508,0.1885054111480713,10.786160469055176,0.014764883,7.591104805282687e-05,190.25,0.25,-42.664917849999995
0.2590243,168.93,7,615,186,-40.915928629999996,0.5,114688,,,,,,,,,,,,,,
0.31082916,174.63,8,603,217,-44.722869259999996,0.48,131072,0.107269287109375,0.2560204063533433,-0.009843097048724303,10.0228485529311,-6.903790847212076,70,0.9593204259872437,0.28287309408187866,9.333148002624512,0.016747043,7.591104805282687e-05,,,
0.46624377,159.99,9,599,245,-42.32188266,0.54,147456,0.08377685546875,0.2560204063533433,-0.005550981971646251,10.406606471724809,-6.874385223537684,80,0.9558579325675964,0.22499781847000122,3.7717373371124268,0.0151308095,7.591104805282687e-05,,,
0.5180486,,,,,,True,150000,0.058917236328125,0.2560204063533433,-0.0024334673560588273,12.121636171266436,-6.859421918168664,90,0.9537882804870605,0.343298077583313,4.378546714782715,0.00989062,7.591104805282687e-05,170.45,0.35,-76.37685964999999
0.5180486,162.77,10,588,278,-42.06081115,0.55,163840,,,,,,,,,,,,,,
0.5180486,153.43,11,588,306,-31.770405679999996,0.64,180224,0.0646728515625,0.2560204063533433,-0.003485900923988083,12.557133442163467,-6.843955348804593,100,0.9493597149848938,0.4011572599411011,8.160908699035645,0.011332268,7.591104805282687e-05,,,
0.5180486,167.14,12,589,333,-46.541958109999996,0.53,196608,0.08421630859375,0.2560204063533433,-0.005159473554522264,14.68701905105263,-6.82435023188591,110,0.9466867446899414,0.352655291557312,13.542734146118164,0.012100341,7.591104805282687e-05,,,
0.5180486,,,,,,True,200000,0.093572998046875,0.2560204063533433,-0.006541709007069585,10.62377553395927,-6.788252679631114,120,0.9367688894271851,0.4438626170158386,6.3991804122924805,0.015228441,7.591104805282687e-05,191.25,0.25,-59.291604050000004
0.5180486,152.03,13,582,365,-35.57581462,0.53,212992,,,,,,,,,,,,,,
0.5180486,140.25,14,584,392,-23.350480259999994,0.64,229376,0.073553466796875,0.2560204063533433,-0.004137388547223964,10.593287175148726,-6.731276033446193,130,0.9255563616752625,0.47893208265304565,9.51135540008545,0.0114837885,7.591104805282687e-05,,,
