time/fps,time/episodes,train/critic_loss,train/n_updates,train/actor_loss,train/ent_coef_loss,time/time_elapsed,train/learning_rate,time/total_timesteps,train/ent_coef,rollout/success_rate,rollout/ep_len_mean,rollout/ep_rew_mean,curriculum/radius,eval/success_rate,eval/mean_reward,eval/mean_ep_length
133,4,0.8877947442233562,480,-21.656453013420105,-0.2189915059134364,14,5.6115164153345e-05,2000,0.9739315062761307,0.0,250.0,-176.664416125,0.10360972,,,
133,8,,,,,14,,2000,,0.0,250.0,-176.664416125,,,,
134,12,1.6503290608525276,976,-41.78084444999695,-0.432539377361536,29,5.6115164153345e-05,4000,0.9476314298808575,0.1875,211.5,-123.56904281250002,0.10360972,,,
134,16,,,,,29,,4000,,0.1875,211.5,-123.56904281250002,,,,
131,20,1.6468958854675293,1232,-47.624582290649414,-0.5447590053081512,37,5.6115164153345e-05,5008,0.9343872219324112,0.2,207.85,-116.91187415000005,0.10360972,,,
129,24,2.0386813282966614,1472,-50.5975079536438,-0.6509891413152218,46,5.6115164153345e-05,6000,0.9220668934285641,0.20833333333333334,214.41666666666666,-119.74619041666669,0.10360972,,,
128,28,1.638770543038845,1520,-51.05673694610596,-0.6749225296080112,48,5.6115164153345e-05,6184,0.9196081385016441,0.21428571428571427,211.07142857142858,-118.57901592857147,0.10360972,,,
123,32,1.465572539716959,1968,-52.68970274925232,-0.8822223134338856,64,5.6115164153345e-05,8000,0.8968460336327553,0.18181818181818182,216.96969696969697,-127.3237602121212,0.10360972,,,
122,36,1.9046016596257687,2016,-52.461135149002075,-0.9091637618839741,66,5.6115164153345e-05,8168,0.8944289796054363,0.19444444444444445,212.80555555555554,-126.20828816666663,0.10360972,,,
120,40,1.174534548074007,2192,-51.102978467941284,-0.9908121004700661,73,5.6115164153345e-05,8856,0.8856016173958778,0.25,199.925,-114.67064977499999,0.10360972,,,
119,44,0.979069460183382,2448,-50.46937346458435,-1.1121741309762,82,5.6115164153345e-05,9912,0.8729023672640324,0.2727272727272727,198.8181818181818,-112.7979058409091,0.10360972,,,
119,48,1.2173562981188297,2480,-50.07467555999756,-1.1308950707316399,84,5.6115164153345e-05,10008,0.8713245317339897,0.25,203.08333333333334,-113.18058781250001,0.10360972,,,
116,52,1.2823736444115639,2928,-49.29866862297058,-1.3450487926602364,101,5.6115164153345e-05,11800,0.8495071940124035,0.25,203.07692307692307,-117.8220539423077,0.10360972,,,
115,56,2.4983664639294147,2976,-49.1380352973938,-1.3687459155917168,103,5.6115164153345e-05,12008,0.8471973389387131,0.23214285714285715,206.42857142857142,-120.51769296428571,0.10360972,,,
114,60,0.9821003749966621,3424,-47.61564922332764,-1.584535837173462,120,5.6115164153345e-05,13800,0.825955756008625,0.21666666666666667,209.33333333333334,-123.73289173333335,0.10360972,,,
114,64,1.439484592527151,3472,-47.413450479507446,-1.6078496500849724,121,5.6115164153345e-05,14008,0.8237106688320637,0.203125,211.875,-124.57290421875,0.10360972,,,
114,68,0.6665581092238426,3696,-46.74685883522034,-1.7194500714540482,130,5.6115164153345e-05,14856,0.8133271485567093,0.22058823529411764,206.89705882352942,-120.04038638235293,0.10360972,,,
113,72,1.089122049510479,3952,-46.21916127204895,-1.8387359157204628,139,5.6115164153345e-05,15912,0.8016218431293964,0.2222222222222222,206.09722222222223,-117.85240520833334,0.10360972,,,
113,76,0.5922646261751652,4096,-45.79762864112854,-1.9133317321538925,145,5.6115164153345e-05,16504,0.7951159179210663,0.21052631578947367,208.4078947368421,-118.26888160526316,0.10360972,,,
112,80,0.6236850172281265,4432,-44.80056595802307,-2.0787096172571182,158,5.6115164153345e-05,17800,0.7801462225615978,0.2125,207.7375,-116.658050125,0.10360972,,,
112,84,1.0112763233482838,4480,-44.68002367019653,-2.0985156148672104,160,5.6115164153345e-05,18024,0.7780302874743938,0.21428571428571427,206.78571428571428,-115.08836813095238,0.10360972,,,
110,88,0.932537317276001,4800,-44.22331738471985,-2.2504355162382126,174,5.6115164153345e-05,19296,0.7640910744667053,0.2159090909090909,207.67045454545453,-114.17794085227273,0.10360972,,,
110,92,0.7618918884545565,4976,-43.887770891189575,-2.3329917639493942,181,5.6115164153345e-05,20008,0.7565363645553589,0.20652173913043478,209.5108695652174,-115.20233739130434,0.10360972,,,
109,96,0.6385408658534288,5120,-43.481168031692505,-2.402873858809471,187,5.6115164153345e-05,20560,0.7504138424992561,0.21875,206.1875,-111.57032658333334,0.10360972,,,
109,100,0.47056361101567745,5424,-43.03985595703125,-2.54875810444355,198,5.6115164153345e-05,21800,0.7376574538648129,0.21,207.94,-112.19157888000001,0.10360972,,,
109,104,0.4806682523339987,5504,-42.85987210273743,-2.5813698023557663,201,5.6115164153345e-05,22128,0.7343375496566296,0.22,205.45,-107.05614119000002,0.10360972,,,
107,108,0.9211362712085247,5872,-42.443039417266846,-2.7613452821969986,218,5.6115164153345e-05,23560,0.7192654758691788,0.22,205.45,-104.30377864000002,0.10360972,,,
108,112,0.6422019079327583,5984,-42.20426654815674,-2.816091001033783,222,5.6115164153345e-05,24008,0.7147443629801273,0.2,211.18,-107.20061257000002,0.10360972,,,
108,116,0.616182116791606,6368,-41.70511269569397,-2.9968496710062027,236,5.6115164153345e-05,25560,0.6994644999504089,0.2,211.18,-107.02439794,0.10360972,,,
108,120,0.5645202584564686,6448,-41.6207537651062,-3.0375109016895294,239,5.6115164153345e-05,25912,0.6963241137564182,0.2,210.99,-105.84663917999998,0.10360972,,,
108,124,0.8244757037609816,6752,-41.175920248031616,-3.17696975171566,250,5.6115164153345e-05,27096,0.684527087956667,0.2,209.23,-102.43738685999999,0.10360972,,,
