episode,total_reward,episode_length,is_success,curriculum_radius,consecutive_successes
1,-113.009807,250,0,0.10360972,0
2,-207.651191,250,0,0.10360972,0
3,-199.425488,250,0,0.10360972,0
4,-163.204625,250,0,0.10360972,0
5,-168.72225,250,0,0.10360972,0
6,-285.877135,250,0,0.10360972,0
7,-188.999214,250,0,0.10360972,0
8,-107.290955,250,0,0.10360972,0
9,17.938003,57,1,0.10360972,1
10,23.642359,9,1,0.10360972,2
11,-162.925679,250,0,0.10360972,0
12,-89.044928,250,0,0.10360972,0
13,-115.299823,250,0,0.10360972,0
14,-102.514291,250,0,0.10360972,0
15,-141.348303,250,0,0.10360972,0
16,-171.316548,250,0,0.10360972,0
17,-173.379161,250,0,0.10360972,0
18,23.79778,28,1,0.10360972,1
19,-160.568359,250,0,0.10360972,0
20,-91.194688,250,0,0.10360972,0
21,-92.307812,250,0,0.10360972,0
22,-90.442369,250,0,0.10360972,0
23,-38.558186,250,0,0.10360972,0
24,-100.233908,250,0,0.10360972,0
25,-129.690173,250,0,0.10360972,0
26,24.949577,1,1,0.10360972,1
27,25.669337,10,1,0.10360972,2
28,-163.77579,250,0,0.10360972,0
29,14.06693,28,1,0.10360972,1
30,-137.630593,250,0,0.10360972,0
31,4.392777,85,1,0.10360972,1
32,20.455613,47,1,0.10360972,2
33,-119.611776,250,0,0.10360972,0
34,-74.086653,250,0,0.10360972,0
35,-70.359898,250,0,0.10360972,0
36,-126.320508,250,0,0.10360972,0
37,-57.207994,250,0,0.10360972,0
38,-107.879579,250,0,0.10360972,0
39,-120.81798,250,0,0.10360972,0
40,2.070775,84,1,0.10360972,1
41,-76.052586,250,0,0.10360972,0
42,-0.387769,96,1,0.10360972,1
43,25.378575,9,1,0.10360972,2
44,-69.804814,250,0,0.10360972,0
45,-159.871012,250,0,0.10360972,0
46,-63.583646,250,0,0.10360972,0
47,-92.955903,250,0,0.10360972,0
48,-68.935733,250,0,0.10360972,0
49,-162.272561,250,0,0.10360972,0
50,-109.154817,250,0,0.10360972,0
51,-122.541575,250,0,0.10360972,0
52,-87.008096,250,0,0.10360972,0
53,-127.972493,250,0,0.10360972,0
54,-126.440993,250,0,0.10360972,0
55,-99.729085,250,0,0.10360972,0
56,-129.944976,250,0,0.10360972,0
57,21.005645,45,1,0.10360972,1
58,-149.581159,250,0,0.10360972,0
59,-88.877219,250,0,0.10360972,0
60,-87.995883,250,0,0.10360972,0
61,-111.184354,250,0,0.10360972,0
62,-134.510616,250,0,0.10360972,0
63,-95.606328,250,0,0.10360972,0
64,-127.603247,250,0,0.10360972,0
65,-115.114673,250,0,0.10360972,0
66,-98.72013,250,0,0.10360972,0
67,-92.743006,250,0,0.10360972,0
68,-87.54808,250,0,0.10360972,0
69,-132.632246,250,0,0.10360972,0
70,-43.426943,229,1,0.10360972,1
71,-127.745883,250,0,0.10360972,0
72,-97.435867,250,0,0.10360972,0
73,-137.657047,250,0,0.10360972,0
74,24.72283,11,1,0.10360972,1
75,-128.414736,250,0,0.10360972,0
76,-256.524883,250,0,0.10360972,0
77,25.09263,14,1,0.10360972,1
78,-105.352201,250,0,0.10360972,0
79,-32.481597,155,1,0.10360972,1
80,-107.15372,250,0,0.10360972,0
81,-146.585377,250,0,0.10360972,0
82,-108.948719,250,0,0.10360972,0
83,-70.224127,250,0,0.10360972,0
84,16.248638,50,1,0.10360972,1
85,-152.370889,250,0,0.10360972,0
86,-91.000251,250,0,0.10360972,0
87,-164.010677,250,0,0.10360972,0
88,-141.968716,250,0,0.10360972,0
89,21.761264,39,1,0.10360972,1
90,-117.167204,250,0,0.10360972,0
91,-91.967696,250,0,0.10360972,0
92,-167.968559,250,0,0.10360972,0
93,-132.034917,250,0,0.10360972,0
94,-47.193291,250,0,0.10360972,0
95,25.580035,8,1,0.10360972,1
96,-77.834964,250,0,0.10360972,0
97,21.212026,46,1,0.10360972,1
98,-115.910152,250,0,0.10360972,0
99,-147.174656,250,0,0.10360972,0
100,-13.549026,154,1,0.10360972,1
101,24.738349,17,1,0.10360972,2
102,-84.396629,250,0,0.10360972,0
103,-199.94744,250,0,0.10360972,0
104,-94.9066,250,0,0.10360972,0
105,25.746786,6,1,0.10360972,1
106,25.298377,13,1,0.10360972,2
107,25.452773,2,1,0.10360972,3
108,-112.261298,250,0,0.10360972,0
109,-77.999301,250,0,0.10360972,0
110,-105.458085,250,0,0.10360972,0
111,-111.853629,250,0,0.10360972,0
112,-97.95797,250,0,0.10360972,0
113,-90.382747,250,0,0.10360972,0
114,-79.106794,250,0,0.10360972,0
115,-86.9467,250,0,0.10360972,0
116,16.433565,95,1,0.10360972,1
117,21.967798,11,1,0.10360972,2
118,-58.087176,244,1,0.10360972,3
119,-125.621652,250,0,0.10360972,0
120,-123.881766,250,0,0.10360972,0
121,-131.693194,250,0,0.10360972,0
122,-78.305217,250,0,0.10360972,0
123,-78.423029,250,0,0.10360972,0
124,-121.223294,250,0,0.10360972,0
125,24.018644,26,1,0.10360972,1
126,-116.277868,250,0,0.10360972,0
127,25.332182,6,1,0.10360972,1
128,24.886869,1,1,0.10360972,2
129,-111.127799,250,0,0.10360972,0
130,-243.160855,250,0,0.10360972,0
131,-58.656691,250,0,0.10360972,0
132,-71.120288,250,0,0.10360972,0
133,-152.423764,250,0,0.10360972,0
134,-59.349696,250,0,0.10360972,0
135,-122.889324,250,0,0.10360972,0
136,-18.121567,95,1,0.10360972,1
137,21.602271,40,1,0.10360972,2
138,26.298581,10,1,0.10360972,3
139,-61.081389,250,0,0.10360972,0
140,-166.096747,250,0,0.10360972,0
141,-110.682827,250,0,0.10360972,0
142,6.598431,60,1,0.10360972,1
143,-89.738714,250,0,0.10360972,0
144,-114.614273,250,0,0.10360972,0
145,-91.245549,250,0,0.10360972,0
146,-142.635171,250,0,0.10360972,0
147,16.573809,66,1,0.10360972,1
148,-102.635056,250,0,0.10360972,0
149,-90.116446,250,0,0.10360972,0
150,-119.255601,250,0,0.10360972,0
151,2.124341,140,1,0.10360972,1
152,-120.704263,250,0,0.10360972,0
153,-110.08538,250,0,0.10360972,0
154,10.912712,136,1,0.10360972,1
155,23.934897,5,1,0.10360972,2
156,-70.905378,250,0,0.10360972,0
157,5.874949,123,1,0.10360972,1
158,-100.469023,250,0,0.10360972,0
159,-112.708008,250,0,0.10360972,0
160,22.242259,16,1,0.10360972,1
161,-75.733421,250,0,0.10360972,0
162,-106.404224,250,0,0.10360972,0
163,-122.89168,250,0,0.10360972,0
164,-109.35295,250,0,0.10360972,0
165,-121.95291,250,0,0.10360972,0
166,24.490977,19,1,0.10360972,1
167,-100.491858,250,0,0.10360972,0
168,-79.209326,250,0,0.10360972,0
169,-62.839459,244,1,0.10360972,1
170,-119.581571,250,0,0.10360972,0
171,7.555974,90,1,0.10360972,1
172,25.064279,1,1,0.10360972,2
173,17.382311,46,1,0.10360972,3
174,-1.439058,160,1,0.10360972,4
175,-114.910119,250,0,0.10360972,0
176,-94.471726,250,0,0.10360972,0
177,-50.153875,250,0,0.10360972,0
178,-77.006743,250,0,0.10360972,0
179,-75.789622,250,0,0.10360972,0
180,-97.727512,250,0,0.10360972,0
181,-107.596066,250,0,0.10360972,0
182,-54.897781,250,0,0.10360972,0
183,-116.259358,250,0,0.10360972,0
184,15.349692,27,1,0.10360972,1
185,-109.212549,250,0,0.10360972,0
186,-124.277012,250,0,0.10360972,0
187,-130.899774,250,0,0.10360972,0
188,-97.362735,250,0,0.10360972,0
189,-127.039712,250,0,0.10360972,0
190,23.029515,12,1,0.10360972,1
191,-118.558566,250,0,0.10360972,0
192,-98.043841,250,0,0.10360972,0
193,18.386103,78,1,0.10360972,1
194,-54.383737,250,0,0.10360972,0
195,-198.747557,250,0,0.10360972,0
196,-57.357015,250,0,0.10360972,0
197,16.297893,89,1,0.10360972,1
198,-105.507986,250,0,0.10360972,0
199,-129.420916,250,0,0.10360972,0
200,-100.815079,250,0,0.10360972,0
201,-136.885942,250,0,0.10360972,0
202,-48.313723,250,0,0.10360972,0
203,-115.275093,250,0,0.10360972,0
204,-120.513997,250,0,0.10360972,0
205,22.988294,11,1,0.10360972,1
206,-99.162577,250,0,0.10360972,0
207,7.543261,104,1,0.10360972,1
208,-53.554529,250,0,0.10360972,0
209,-68.310317,250,0,0.10360972,0
210,-89.435994,250,0,0.10360972,0
211,-81.176027,250,0,0.10360972,0
212,-94.185192,250,0,0.10360972,0
213,-89.694276,250,0,0.10360972,0
214,-118.641273,250,0,0.10360972,0
215,-104.340533,250,0,0.10360972,0
216,-112.228946,250,0,0.10360972,0
217,-131.933106,250,0,0.10360972,0
218,24.957591,3,1,0.10360972,1
219,-108.619091,250,0,0.10360972,0
220,20.539668,51,1,0.10360972,1
221,-116.505581,250,0,0.10360972,0
222,25.894939,8,1,0.10360972,1
223,-75.513554,250,0,0.10360972,0
224,-90.500201,250,0,0.10360972,0
225,-55.752334,250,0,0.10360972,0
226,-65.329774,250,0,0.10360972,0
227,23.08452,37,1,0.10360972,1
228,-153.309706,250,0,0.10360972,0
229,-126.678184,250,0,0.10360972,0
