episode,total_reward,episode_length,is_success,curriculum_radius,consecutive_successes,final_joint_angles,target_pos
1,2238.326674,250,0,0.148790967464447,0,"[-0.34226143, 0.6825648 ,-1.338829  ,-0.16530958,-0.8352206 ]","[-0.06293099, 0.5416471 , 0.86746496]"
2,2278.992584,250,0,0.148790967464447,0,"[-1.7572112, 1.0624322,-0.5971509,-0.6596002, 0.8771861]","[-0.17211786, 0.31436446, 1.2105994 ]"
3,1348.413611,123,1,0.148790967464447,1,"[-0.48355818, 0.00870001,-0.38671288,-0.27585497,-0.6904132 ]","[0.29074422,0.12463428,1.1220653 ]"
4,214.424623,8,1,0.148790967464447,1,"[ 0.36275697, 0.5387951 ,-1.615556  ,-0.09583338,-0.14138502]","[0.25256693,0.35558128,0.7899675 ]"
5,1839.651074,250,0,0.148790967464447,0,"[ 0.46041435, 1.4036258 ,-1.9926625 ,-0.99943   ,-0.27061215]","[0.01195842,0.5216485 ,1.0770313 ]"
6,2047.989971,250,0,0.148790967464447,0,"[-1.7890923 , 1.2937835 , 0.21907283,-0.31773332,-0.08672333]","[0.0633355 ,0.45217338,1.0612104 ]"
7,1795.766178,250,0,0.148790967464447,0,"[ 1.9357002, 1.067138 , 1.0067083,-0.9015546,-1.8239   ]","[-0.14849149, 0.2569417 , 0.55819684]"
8,1492.513609,250,0,0.148790967464447,0,"[ 0.44641352, 0.2087    , 0.26763168,-1.2263141 , 0.4221766 ]","[0.10419011,0.13193196,1.184607  ]"
9,898.114212,250,0,0.148790967464447,0,"[ 1.9357002 , 0.22678812,-1.8402803 ,-1.303523  , 1.6482717 ]","[0.08358784,0.4305803 ,1.0394739 ]"
10,2528.190148,250,0,0.148790967464447,0,"[ 2.0495677 , 0.02611194, 1.2876327 ,-0.4084292 ,-1.573533  ]","[-0.17288698, 0.42972925, 0.7974429 ]"
11,2794.382688,250,0,0.148790967464447,0,"[-1.8357003 , 0.84069777,-1.9446818 ,-1.2021124 , 0.23734282]","[-0.269971  , 0.44609588, 1.0482442 ]"
12,1329.391894,250,0,0.148790967464447,0,"[-0.91405153, 1.3620002 ,-1.1854179 ,-1.1907237 , 0.22490813]","[0.14962485,0.31760547,1.191308  ]"
