#{"t_start": 1749281668.5561063, "env_id": "None"}
r,l,t
2118.339838,184,14.030652
1849.586577,250,17.571575
2107.555741,250,21.131973
2712.676475,250,24.069192
299.999159,14,24.213751
2022.13434,250,30.122766
2462.721172,250,33.20733
1119.226816,250,35.780792
2047.326736,210,38.208483
2917.205971,250,44.405227
624.550313,54,44.869426
1630.89072,250,47.136301
1955.140491,150,48.560016
959.121995,250,50.938933
2774.316074,250,55.905124
2111.290637,250,58.328044
914.829182,250,60.835319
1491.679486,250,63.681072
1926.306024,250,68.17982
114.682678,1,68.201213
412.468633,24,68.469176
961.466211,107,69.678815
2443.547821,250,72.369442
749.564167,52,73.102354
2072.45172,250,75.409175
719.336967,48,75.857848
1831.715949,250,78.384937
173.513628,5,78.430632
2327.542416,250,83.030979
464.202006,29,83.396645
1179.427565,250,86.408937
2236.788532,250,89.623644
631.182526,43,90.071562
1652.713801,250,94.547354
2142.274862,250,97.157274
977.277881,250,99.563364
1429.487876,250,102.195131
2409.139029,226,104.601054
1699.198976,250,108.784381
2262.743827,250,111.268404
1607.105887,250,113.984276
2654.612049,250,116.571323
1813.813015,250,120.699264
1604.721402,250,123.227149
1829.646238,250,126.038193
844.821003,250,129.98792
1684.456608,250,135.578742
1800.524067,250,138.120915
1783.744361,250,140.529355
115.41642,1,140.553106
1419.411103,250,143.311985
2329.806847,250,148.5173
1242.418917,250,151.666691
1531.132802,250,154.586506
1455.863325,250,157.74987
1282.530172,250,162.611105
1176.200976,250,165.411063
2039.123846,250,168.081835
2232.353119,250,170.694002
1805.116252,250,175.342684
1511.336965,250,177.957559
1227.166629,250,180.527888
1269.998991,250,183.121493
883.453517,250,188.160524
1433.486247,250,190.843738
1878.240228,250,193.622674
399.7693,23,193.896864
456.585563,26,194.187776
1652.663368,250,196.928647
1781.91356,250,201.227614
1993.695867,250,204.129525
661.845173,45,204.678685
1872.092885,250,207.250701
2031.086125,250,209.878038
1383.804693,250,215.055363
2681.465716,250,217.816552
1282.794309,250,220.495389
2845.640919,250,223.282077
2447.522913,250,227.659896
2118.222646,250,230.598279
1084.915565,250,233.221931
1532.182368,250,235.827169
2074.261686,250,240.131799
1517.318766,250,242.820094
911.466922,250,245.929328
315.325502,16,246.28175
2791.95611,250,249.012426
2272.07196,250,253.558042
638.670846,250,256.438848
699.73363,250,259.002184
2197.834825,250,261.856948
1501.831641,250,266.558802
2641.07073,250,269.160979
628.432873,45,269.572648
1898.876087,250,272.303837
2273.354012,250,275.287812
1325.172231,250,280.312251
1154.072493,250,282.8489
1807.370512,250,285.849889
520.088622,37,286.250859
1425.449224,108,287.45556
1793.985489,250,290.183945
1267.181226,250,295.017376
2718.629835,250,297.897717
747.551307,250,300.848878
1531.878591,250,303.558433
1268.722282,102,307.268339
2835.485448,250,310.032176
1020.324818,250,312.727408
728.061306,250,315.473623
1292.134574,95,316.522322
1028.987752,74,317.505975
1552.939231,250,322.352436
241.062265,10,322.446254
1415.566097,173,324.237433
1806.73029,250,327.255206
780.733498,51,327.823497
2001.657155,198,330.097087
1420.686849,250,335.387675
1841.468187,250,338.815486
2125.944721,250,342.136608
492.135795,27,342.438083
779.837027,48,342.994762
2669.858537,250,346.280118
333.524061,17,346.577741
1308.422629,104,347.698727
2901.236583,250,352.531769
2329.021518,250,355.687544
952.326756,250,358.799493
2540.535408,250,361.961778
1357.119576,250,366.979877
172.623131,5,367.039994
2685.378791,250,369.994788
2551.238784,250,373.214663
1670.899241,250,376.75277
2173.768082,250,381.95738
2932.205934,250,384.835547
1061.691518,81,385.746636
1735.113649,250,389.224535
2140.354039,250,394.287457
1856.348017,250,398.00273
198.230161,7,398.091117
2350.520909,250,400.978804
173.294398,5,401.043183
1860.753237,250,404.268879
1337.292827,250,407.253228
1983.554677,250,412.486855
2114.744048,250,415.261561
1523.198474,250,418.368055
1784.074977,250,427.577338
2528.138459,250,439.658934
1690.198874,250,442.880997
1858.142247,250,446.333905
258.145776,12,446.471255
309.644691,16,446.85066
130.582038,2,446.880848
2187.823931,250,449.880408
406.95523,26,452.220815
2194.789719,250,454.97303
2267.844953,250,458.452993
1126.070875,250,461.757138
1792.722436,250,464.574585
1211.068829,250,469.809472
859.40249,66,470.573643
1623.63299,250,473.587332
2128.572118,250,476.36384
1124.214588,250,481.815116
776.463219,74,482.589282
1978.716594,250,485.365795
2440.383422,250,489.149844
2211.040799,250,492.296463
2613.305305,250,496.734324
1210.785661,250,499.944893
1967.461977,250,502.828128
3145.387776,250,505.990793
1648.780331,250,511.490656
2528.817078,250,514.386044
606.166107,250,518.052223
1921.974765,250,521.415641
2182.088793,250,526.350312
1700.741759,250,529.665708
1707.315386,250,533.039834
2623.061023,250,535.849405
2662.793727,250,541.08765
1872.232572,250,544.215042
417.267276,24,544.528794
1700.967361,250,548.307082
1040.229004,250,551.602857
1035.523264,250,557.013178
1450.611624,250,560.475647
2010.220872,250,563.338575
2299.319085,250,565.803146
1680.04397,250,568.210418
184.91452,6,568.27042
1979.032669,250,572.160127
637.125325,250,574.251911
2237.632537,250,577.041246
909.733416,250,581.487793
1437.939239,110,584.769913
1863.934061,250,587.789198
1352.873992,250,591.203455
429.571837,25,591.493035
2667.839246,250,594.521678
2167.75191,250,599.797724
1810.152519,250,603.338294
2052.742432,250,607.579289
2420.111961,250,613.230265
254.307055,12,613.589474
823.138906,250,622.125728
243.08102,10,622.274564
941.873695,250,625.492406
1931.983975,250,628.499474
2674.304282,250,631.938214
1417.987125,250,637.252019
1882.828806,250,640.648634
2494.665694,185,643.126218
2600.456324,250,646.291805
2707.257251,250,649.315406
2045.916007,250,655.829903
1764.033838,250,660.094439
211.941925,8,660.182086
1280.52125,250,663.163614
2709.607499,250,667.123765
1963.71079,250,674.019473
2588.660994,250,677.079487
1713.203483,250,680.364124
2291.859983,250,683.456527
2042.033686,250,688.586384
1759.067745,250,691.882645
2248.201119,239,695.039945
1181.587606,250,699.341707
1081.948248,250,704.906251
1729.349914,250,708.550154
1656.456003,250,711.715872
2283.976092,250,716.301182
1941.25059,250,721.884156
1203.307685,250,725.443956
278.318336,13,725.705749
1584.73782,250,729.841479
1768.031766,250,735.295619
617.148328,58,736.04646
2582.341744,250,741.945383
115.182182,1,741.965853
1458.266005,250,746.237896
1989.126081,250,749.915988
1564.086266,250,753.391824
1732.754954,250,759.778143
1113.33544,79,761.078241
988.342197,250,764.817073
889.480054,250,768.544891
1530.083935,250,771.960074
1269.678787,250,777.060038
114.535744,1,777.072738
174.271257,5,777.122511
1611.181759,250,780.238194
1855.270058,250,783.284788
1813.854201,250,786.923916
2450.705655,250,792.447577
1066.305798,250,794.831426
1606.202168,250,797.168761
2390.429945,250,799.834702
2718.890747,250,807.015588
2497.635502,250,813.145212
2462.213914,250,819.621343
2431.631474,250,823.114496
1151.565012,250,827.033543
2113.742777,250,829.904324
2548.65478,250,832.24478
963.251943,66,832.829691
1029.778454,250,835.265898
1599.535559,250,839.190025
670.734219,56,839.772568
2347.256772,250,842.195241
2095.495053,250,844.656066
282.894322,13,844.803903
1175.088367,250,850.492523
449.280088,28,851.31491
2761.66373,250,861.213335
272.761184,12,861.630538
1151.26027,250,868.586444
171.396235,5,868.717362
1730.148328,250,875.803974
1569.575654,250,882.525199
1596.416861,250,890.626405
1252.965164,250,895.400985
1553.392553,250,899.330032
1653.254978,147,901.283185
356.301168,19,901.558601
1360.122342,250,911.830757
1332.373255,100,913.120849
1717.346058,250,917.684227
1350.770652,250,923.018345
1671.215889,250,927.093672
1512.98128,250,933.412476
1552.032808,250,937.468101
306.933908,17,937.656243
2818.149274,250,942.259656
1876.40791,250,946.057978
2769.087533,250,951.694645
1102.843262,250,955.868437
2055.371119,250,959.774332
2347.161644,250,963.511247
1112.17052,250,969.316383
484.339692,31,969.759541
2108.458686,250,973.260875
742.56776,52,974.216217
1749.550205,250,977.929834
1474.754258,250,981.607016
1667.796434,146,986.229251
2642.518972,250,990.062774
2157.185678,250,993.932714
1894.039504,250,997.766641
1989.147716,250,1003.927678
2426.267127,250,1007.56385
2664.802337,250,1011.047138
1590.382653,250,1015.132973
2025.421982,250,1020.776436
2260.85147,250,1024.472586
2004.204708,250,1028.607393
1425.340828,250,1032.536142
1252.999467,250,1038.391218
2614.23871,234,1041.766648
1017.066252,250,1046.135781
1836.814635,250,1050.094154
1033.835711,250,1055.56004
1016.049886,250,1060.105895
1412.020474,250,1063.681486
201.525153,7,1063.816156
2778.326991,250,1068.751615
2117.293549,250,1072.461447
1580.769427,250,1078.069648
1603.501087,250,1081.418928
1861.291574,250,1084.960658
378.105629,23,1085.270921
1524.55769,250,1089.722771
1143.151735,250,1095.53394
1701.339203,250,1099.444318
2245.897126,250,1103.359748
292.91195,14,1103.599569
754.870044,51,1104.535773
839.715632,65,1105.814002
1651.390646,250,1113.556685
1679.246815,250,1119.581589
2187.950433,250,1125.416024
2070.316651,250,1130.643417
2288.085259,250,1137.12846
931.520314,250,1142.863955
1609.41256,250,1147.742901
1473.980212,250,1152.4728
2061.191432,250,1158.460593
2676.775444,250,1161.833757
479.463288,29,1162.20499
1735.885288,250,1166.090391
1072.807576,81,1167.211973
1094.433479,82,1168.271761
855.37818,250,1172.036927
1862.21577,250,1177.592379
2209.950523,250,1181.737838
1729.282151,250,1185.752361
1044.725982,250,1190.037902
2068.621618,250,1195.401487
2854.691151,250,1199.312644
2673.360367,250,1202.816679
2201.89884,250,1206.862908
721.184169,62,1207.73164
2166.062389,250,1214.064444
806.281812,56,1214.792384
2712.709651,250,1218.780476
2842.788098,250,1223.030136
129.292548,2,1223.060315
1767.811383,250,1229.261124
778.919072,57,1230.108687
2643.961769,250,1233.776417
2818.239647,250,1237.554358
1794.349188,250,1242.401618
1463.477151,250,1248.000112
1150.020609,250,1252.151376
2341.08434,250,1255.847068
1272.835759,250,1259.917711
1612.88235,250,1265.440339
1774.786221,250,1269.975103
833.67438,250,1274.162703
1862.383068,250,1278.366776
2023.84757,250,1282.545935
1693.063478,250,1288.10157
2243.556835,250,1292.486013
1400.340087,250,1296.630129
1948.133956,250,1301.070403
2475.838197,250,1307.245823
244.490666,10,1307.461832
172.103698,5,1307.568565
1610.56064,250,1312.03817
473.47468,29,1312.492461
1334.519036,250,1316.462295
1884.286357,250,1321.025668
472.603832,31,1323.402318
1875.122443,250,1327.476468
898.31744,250,1331.967776
1195.901186,250,1336.034199
273.252038,13,1336.256296
3081.048092,250,1342.513006
1564.257688,250,1347.186575
1641.784905,250,1351.775684
1021.942413,250,1355.932458
2277.707516,250,1360.366926
2451.968071,250,1366.98698
1388.878201,250,1371.575806
1391.362515,250,1375.798837
1902.442234,250,1379.953398
1939.04989,250,1386.836987
767.37126,250,1392.553562
1861.400946,250,1397.295695
1897.47316,243,1401.603364
2590.327473,250,1408.675497
171.145381,5,1408.742173
130.316947,2,1408.777145
1254.753318,250,1413.652399
1893.702374,250,1418.456307
359.072113,20,1419.044531
1204.215657,250,1424.037063
2498.035967,250,1431.061246
2093.438388,250,1436.133238
2427.989688,250,1440.830747
1908.151541,250,1445.626225
1621.935393,250,1453.908784
1673.445831,250,1458.479729
2034.237183,250,1463.091164
1682.170643,250,1467.456705
2202.159352,250,1476.054101
231.062681,9,1476.325492
1322.832846,250,1480.75441
2110.685991,250,1486.431983
410.865254,32,1487.086493
1193.308482,92,1488.893039
2636.074413,250,1496.768311
2127.525621,250,1501.839803
1145.999584,93,1503.902359
1209.350872,250,1509.244187
1513.530964,250,1514.843863
2331.208664,250,1522.667036
1730.510066,250,1528.535351
2494.389797,250,1533.799028
2622.416792,250,1539.491535
2369.731168,250,1547.493684
2116.293242,250,1552.64316
1324.743488,250,1557.806257
1960.636222,250,1562.064683
1515.66159,250,1569.699034
2418.209359,250,1574.561591
1286.453901,112,1576.631051
2448.04552,250,1581.884899
239.170671,10,1582.04344
1907.672454,250,1586.829316
1727.45787,250,1593.65449
1197.083083,250,1598.633141
2322.617465,250,1603.582695
2302.277896,250,1608.553425
2587.933932,250,1615.311532
2495.001144,250,1620.125447
1643.709417,250,1627.30943
803.993382,63,1628.955184
2239.128546,250,1634.606389
2712.804362,250,1642.066905
2450.587788,250,1652.94293
1011.495621,250,1660.79286
2649.958803,250,1666.276182
1960.516102,250,1674.40021
2109.099787,250,1681.527478
797.506512,250,1689.503435
1627.29952,250,1694.683056
1817.702246,148,1698.339805
1707.816242,250,1706.337163
275.136223,13,1706.65267
1683.388422,250,1712.956682
2231.454838,250,1719.094181
2988.176194,250,1727.737745
1467.493409,250,1739.614162
1306.438861,121,1742.121231
768.037616,250,1747.112067
144.332738,3,1747.183621
929.627459,250,1752.076155
1557.024923,250,1760.594656
1874.738231,250,1764.593487
2515.574001,250,1769.121955
374.616635,20,1769.361933
2922.772298,250,1773.32298
2244.980136,250,1778.068946
1453.995527,250,1781.403691
1665.909745,250,1785.190688
826.204346,250,1789.647367
1303.41641,250,1799.651437
2082.717063,250,1803.835475
2194.474735,250,1808.961588
2042.639601,250,1815.317307
2846.553297,250,1824.191432
1628.83504,250,1829.205041
1756.594275,250,1835.036844
1430.885148,250,1839.456264
2356.715264,250,1843.175016
1241.496274,250,1847.700083
2817.391192,250,1850.660952
1878.572326,250,1854.042405
1800.316912,250,1857.670045
1921.698961,250,1863.729069
1282.0321,250,1868.252652
2342.651608,250,1872.440942
