#{"t_start": 1749338340.7525969, "env_id": "None"}
r,l,t
3341.704553,250,20.95903
1381.766123,250,31.22043
353.362457,250,42.409539
296.501233,250,54.809202
818.179785,250,69.993894
623.270866,250,84.022922
376.367507,250,112.850801
562.110255,250,127.557148
804.365629,250,144.6219
761.468754,250,165.543528
222.937959,9,166.118257
534.50601,250,183.258284
369.813357,250,219.584112
1037.33788,250,272.855965
115.27124,1,272.945143
1312.457806,250,303.132472
361.812119,250,329.544301
283.982557,250,355.043874
237.011076,250,380.904891
279.964133,250,421.223501
191.995809,250,442.290361
945.207542,250,465.316363
552.339268,250,493.105121
917.922383,250,507.583526
261.827061,250,521.538031
213.043239,250,537.97147
238.398974,250,557.072948
871.448555,250,577.857983
312.704222,250,591.548722
902.29219,250,605.359659
1737.981154,250,619.48366
2129.874726,250,632.625216
582.151566,250,646.385611
455.497127,250,660.221298
393.861934,250,674.038717
481.493753,250,688.308613
1104.487111,250,701.607897
2390.552324,250,715.282351
312.217616,250,728.647511
2097.457215,250,744.872256
713.671996,250,765.077717
1127.521449,250,783.077403
1859.020247,250,796.917906
699.57892,250,810.785569
1310.671118,250,824.301977
446.326877,250,837.865446
895.119521,250,851.624229
1538.282736,250,865.251879
771.242006,250,878.761631
222.916767,9,879.191371
380.716954,250,892.759831
1126.474983,250,906.388192
461.730946,250,919.384581
547.790675,250,932.260564
754.506666,250,945.38175
1809.446084,250,958.656855
454.691679,250,971.72281
357.335445,250,985.06284
2064.273538,250,998.120508
1340.652981,250,1011.601439
959.314638,250,1024.799731
1241.061798,250,1037.930207
602.040023,250,1050.656921
1055.89571,250,1063.666314
897.042975,250,1076.972335
749.545883,250,1090.113445
444.493742,250,1103.306336
145.479771,3,1103.460943
387.223802,250,1116.700145
1550.425689,250,1129.972899
524.05525,250,1143.429588
427.011206,250,1157.015649
1778.785591,250,1170.290562
320.867515,250,1183.547906
485.914648,250,1197.055598
1786.186851,250,1210.977641
645.189,250,1224.294113
467.117698,250,1237.487191
1887.354137,250,1251.947099
904.1968,250,1265.567735
2807.218502,250,1279.284984
823.010235,250,1292.360048
2884.31758,250,1305.593227
1057.202137,250,1319.240204
1078.305889,250,1332.543696
1523.137249,250,1346.513438
1836.032457,250,1359.98219
1241.504005,250,1373.387887
2021.290319,250,1387.011487
1698.786832,250,1400.06273
2099.556719,250,1413.143815
613.194598,250,1426.314809
2696.245587,250,1440.813089
1735.670314,250,1454.241701
183.81208,6,1454.541205
1762.377875,250,1467.939139
694.190195,250,1481.362864
172.702532,5,1481.666299
897.29845,250,1496.930321
849.256581,250,1511.381527
130.755905,2,1511.530686
738.724502,250,1525.160087
1019.916259,250,1538.278218
678.010433,250,1551.911395
1006.080982,250,1565.79382
1041.017041,250,1579.319745
516.491433,250,1592.563061
765.545228,250,1606.21443
431.139469,250,1619.785743
790.32681,250,1633.059332
3009.451766,250,1646.254982
1515.297948,250,1660.164761
449.085052,250,1673.721395
2926.929591,250,1687.688433
1684.797688,250,1700.948378
2881.787515,250,1714.565315
1795.242351,250,1729.633521
1893.655457,250,1743.620317
2642.924579,250,1756.90362
723.122612,250,1770.11923
221.746964,9,1770.600152
1940.97528,250,1784.06809
1153.695776,250,1798.039279
702.002837,250,1812.179844
1224.754735,250,1825.917952
1973.678689,250,1840.128421
433.777422,250,1853.617229
2076.271935,250,1867.719849
1411.650465,250,1881.479987
1072.677968,250,1895.030872
1040.935386,250,1908.330557
458.866344,31,1909.905634
1424.764006,250,1923.865974
1019.960757,250,1937.344007
1047.212386,250,1950.907375
1109.636993,250,1964.565735
1430.227504,250,1978.547747
483.461277,250,1991.968823
693.65548,250,2005.126353
1007.981422,250,2018.605096
2742.500459,250,2032.052637
650.786103,250,2046.126513
1861.62491,250,2060.563478
383.982886,250,2074.60287
3230.955665,250,2088.093254
2576.221378,250,2101.856457
989.230529,250,2115.331628
1023.127418,250,2129.799018
318.250517,250,2146.975211
1878.78686,250,2161.113698
888.149966,250,2174.828809
417.356906,250,2188.101129
1394.392989,250,2201.260881
1211.572937,82,2205.685955
544.68763,250,2218.90105
1105.700351,250,2231.810413
809.651539,250,2244.722563
587.295442,250,2257.7391
1285.217176,250,2270.794848
853.336773,250,2284.004447
1331.485906,250,2297.180891
848.856134,250,2310.215935
1256.315018,250,2323.430961
328.449098,250,2336.799862
1845.43523,250,2349.936548
1981.991231,250,2363.809005
787.920816,250,2376.843235
534.029103,250,2389.47868
1245.678575,250,2403.345617
607.961566,250,2416.61033
581.367441,250,2429.616639
1813.606365,250,2442.986932
2543.261954,250,2456.631423
2116.833531,250,2470.405549
1082.997559,250,2483.435225
2160.706689,250,2496.440272
1486.739968,250,2509.286689
367.158883,250,2522.858001
1176.379259,250,2536.072499
318.066799,250,2549.325058
115.23362,1,2549.396902
733.224725,250,2562.83562
1747.822249,250,2576.03959
1992.775542,250,2589.446338
515.737106,250,2602.598543
736.169516,250,2615.485137
2190.831167,250,2628.366582
2812.114594,250,2642.416477
2772.231245,250,2656.935052
298.110576,250,2671.549281
299.047226,250,2686.546985
333.17092,250,2703.397347
378.69708,250,2717.723527
487.620586,250,2731.624378
962.68546,250,2745.642916
380.039948,250,2760.367206
970.914643,250,2774.846776
353.489023,250,2789.293698
1544.855675,250,2803.796892
469.366644,250,2818.01948
965.245296,250,2832.440723
542.180497,250,2848.365385
419.062145,250,2861.758136
500.329398,49,2864.373886
751.260521,250,2878.242815
852.183843,250,2892.601323
788.936374,250,2906.22583
2130.847117,250,2920.101864
493.432211,250,2933.559742
1195.511242,250,2947.741536
1724.065396,250,2961.96423
736.894283,250,2977.658428
361.405287,250,2991.610137
342.987472,24,2992.818949
1688.292632,250,3006.740664
744.995555,250,3020.513175
748.958042,250,3034.370208
1046.938841,250,3047.913035
1463.597272,250,3062.70612
428.859294,250,3076.702786
1417.970606,250,3090.847189
114.813965,1,3090.906546
992.083838,250,3104.197043
2598.0196,250,3118.466645
1333.127072,250,3135.787252
1460.349252,250,3151.738768
734.452612,250,3167.661746
1334.382281,250,3183.687095
2966.550929,250,3199.47253
1473.445899,250,3214.932122
770.959167,250,3230.344984
575.132915,250,3246.315267
2120.119991,250,3262.01959
1977.683402,250,3280.834829
406.092254,250,3296.502701
816.167455,250,3310.16788
725.153606,250,3323.814523
843.689656,250,3337.404781
174.73294,5,3337.646528
2297.184365,250,3351.415708
1940.961949,250,3365.460099
896.079589,250,3379.813249
1091.79266,250,3393.32531
1681.340276,250,3407.124901
937.81219,250,3420.645995
382.498096,24,3421.949207
1570.193302,250,3435.52965
637.685634,250,3448.935015
2480.150468,250,3462.483159
385.351478,250,3475.991976
1604.155104,250,3489.852108
1264.708318,250,3503.401455
1257.508874,250,3517.989486
576.886698,250,3531.478219
538.58256,250,3545.830901
657.972007,250,3559.349397
1476.218824,250,3572.825603
1102.336067,250,3586.616248
1308.273112,250,3600.402281
1266.295108,250,3614.379916
1024.807256,250,3628.408239
693.474236,250,3642.316765
372.418798,250,3655.992218
1547.516104,250,3670.914383
1266.474971,250,3684.754946
2446.313668,250,3698.631192
1192.635004,250,3712.432574
1944.60196,250,3726.940314
916.631566,250,3741.270122
1535.159039,250,3756.683644
972.418063,250,3772.403746
421.414203,250,3787.285441
341.211223,250,3800.807683
1737.461681,250,3814.577793
3117.850808,250,3828.172669
503.603156,250,3841.759885
497.770473,250,3855.713945
313.123692,250,3870.717702
596.588838,250,3885.157207
115.381348,1,3885.224539
1083.20316,250,3899.496016
2030.278908,250,3913.387652
2985.678758,250,3927.369695
860.853084,250,3941.214781
558.678219,250,3954.988616
2537.127694,250,3970.139752
527.441385,250,3983.897316
1466.903198,250,3997.838033
989.362147,250,4011.544956
1633.787901,250,4025.72071
1433.079846,250,4040.314868
1543.466029,250,4054.364864
1256.921112,250,4067.954506
708.11209,250,4081.905537
447.093305,250,4095.999242
702.179567,250,4109.670837
1154.838592,250,4123.656376
868.203175,250,4137.370474
1865.092586,250,4151.263042
511.179179,250,4165.192071
2459.707804,250,4179.287083
543.697724,250,4193.008625
2422.722262,250,4207.012339
1143.936802,250,4221.644089
1042.85274,250,4235.718581
905.236223,250,4249.701941
