episode,total_reward,episode_length,is_success,curriculum_radius,consecutive_successes,final_joint_angles,target_pos
1,1920.901268,250,0,0.148790967464447,0,"[-0.33827427, 0.53718907,-0.15569359,-0.13507262,-0.10656841]","[-0.06543734, 0.20247306, 1.3091675 ]"
2,476.195304,250,0,0.148790967464447,0,"[ 2.0857    , 0.09655876, 1.0964708 ,-0.05837103, 1.8239    ]","[-0.05253887, 0.20417976, 1.2951913 ]"
3,452.748694,250,0,0.148790967464447,0,"[ 2.0857    , 0.09964868, 0.7575843 ,-0.0087    , 1.8239    ]","[0.11617968,0.42698985,1.0145088 ]"
4,364.485463,250,0,0.148790967464447,0,"[ 2.0857   , 0.0087   ,-0.8790535,-0.0087   , 1.8239   ]","[0.10680643,0.4905699 ,1.0329262 ]"
5,906.205944,250,0,0.148790967464447,0,"[ 2.0857, 1.562 ,-2.0857,-0.0087, 1.8239]","[4.7046412e-04,4.5735347e-01,1.1416810e+00]"
6,815.722357,250,0,0.148790967464447,0,"[ 2.0857, 1.562 ,-2.0857,-0.0087, 1.8239]","[0.0171831,0.2647508,0.6076353]"
7,1733.101847,250,0,0.148790967464447,0,"[ 2.0857, 1.562 ,-2.0857,-0.0087, 1.8239]","[0.05255349,0.4694763 ,1.0668324 ]"
8,3233.598615,250,0,0.148790967464447,0,"[ 2.0857, 1.562 ,-2.0857,-0.0087, 1.8239]","[-0.0687372, 0.5439789, 1.004261 ]"
9,1637.26769,250,0,0.148790967464447,0,"[ 2.0857, 1.562 ,-2.0857,-0.0087, 1.8239]","[-0.02313315, 0.48490238, 0.75480086]"
10,315.026566,17,1,0.148790967464447,1,"[-0.42841917, 0.3594273 , 0.64604986,-0.33993858, 0.10861309]","[0.30571884,0.26303902,1.0243168 ]"
11,302.473279,250,0,0.148790967464447,0,"[ 2.0857, 1.562 ,-2.0857,-0.0087, 1.8239]","[0.22040045,0.09474342,0.6505685 ]"
12,676.191224,250,0,0.148790967464447,0,"[ 2.0857, 1.562 ,-2.0857,-0.0087, 1.8239]","[0.14534414,0.3649511 ,0.6542257 ]"
13,1499.729737,250,0,0.148790967464447,0,"[ 2.0857, 1.562 ,-2.0857,-0.0087, 1.8239]","[0.10866208,0.46845287,0.8732423 ]"
14,492.592931,250,0,0.148790967464447,0,"[ 2.0857, 1.562 ,-2.0857,-0.0087, 1.8239]","[0.30318248,0.2807235 ,1.0488225 ]"
15,1773.061722,250,0,0.148790967464447,0,"[ 2.0857, 1.562 ,-2.0857,-0.0087, 1.8239]","[-0.07911001, 0.49600413, 0.7592071 ]"
16,1462.387504,250,0,0.148790967464447,0,"[ 2.0857, 1.562 ,-2.0857,-0.0087, 1.8239]","[-0.04072313, 0.39046544, 1.101319  ]"
17,328.916398,250,0,0.148790967464447,0,"[ 2.0857, 1.562 ,-2.0857,-0.0087, 1.8239]","[0.1752593 ,0.08304712,0.714694  ]"
18,476.548585,250,0,0.148790967464447,0,"[ 2.0857, 1.562 ,-2.0857,-0.0087, 1.8239]","[-0.1115536 , 0.16079676, 1.2338134 ]"
19,740.596319,250,0,0.148790967464447,0,"[ 2.0857, 1.562 ,-2.0857,-0.0087, 1.8239]","[0.25203863,0.40785152,0.9039625 ]"
20,115.280655,1,1,0.148790967464447,1,"[-1.3102462 , 1.2513707 , 1.7755342 ,-0.58325756,-1.7411921 ]","[0.09309921,0.50611913,0.97586656]"
21,785.318925,250,0,0.148790967464447,0,"[ 2.0857, 1.562 ,-2.0857,-0.0087, 1.8239]","[-0.01391637, 0.33498484, 1.2218986 ]"
22,145.757437,3,1,0.148790967464447,1,"[ 1.3343377, 0.9606697,-1.5683941,-0.6112099, 1.5097722]","[0.07827613,0.49896643,0.73635095]"
23,841.13444,250,0,0.148790967464447,0,"[ 2.0857, 1.562 ,-2.0857,-0.0087, 1.8239]","[0.2083511 ,0.40770996,0.8787722 ]"
24,423.511807,250,0,0.148790967464447,0,"[ 2.0857, 1.562 ,-2.0857,-0.0087, 1.8239]","[0.15048623,0.21374911,0.63583523]"
25,716.528132,250,0,0.148790967464447,0,"[ 2.0857, 1.562 ,-2.0857,-0.0087, 1.8239]","[-0.237716  , 0.32776877, 0.66004723]"
26,512.411726,250,0,0.148790967464447,0,"[ 2.0857, 1.562 ,-2.0857,-0.0087, 1.8239]","[-0.23251589, 0.24259067, 0.5604042 ]"
27,478.440673,250,0,0.148790967464447,0,"[ 2.0857, 1.562 ,-2.0857,-0.0087, 1.8239]","[0.05922747,0.22341812,1.2492026 ]"
28,2026.561113,250,0,0.148790967464447,0,"[ 2.0857, 1.562 ,-2.0857,-0.0087, 1.8239]","[-0.10429284, 0.4720777 , 1.0945256 ]"
29,797.509465,250,0,0.148790967464447,0,"[ 2.0857, 1.562 ,-2.0857,-0.0087, 1.8239]","[0.22909886,0.41163167,1.0424197 ]"
30,775.586972,250,0,0.148790967464447,0,"[ 2.0857, 1.562 ,-2.0857,-0.0087, 1.8239]","[0.10363272,0.41093627,0.6437608 ]"
31,267.764674,250,0,0.148790967464447,0,"[ 2.0857, 1.562 ,-2.0857,-0.0087, 1.8239]","[0.18112278,0.12858446,0.5724829 ]"
32,1208.770569,250,0,0.148790967464447,0,"[ 2.0857, 1.562 ,-2.0857,-0.0087, 1.8239]","[0.09665488,0.42018324,0.77712154]"
33,611.452878,250,0,0.148790967464447,0,"[ 2.0857, 1.562 ,-2.0857,-0.0087, 1.8239]","[-0.09159625, 0.35891855, 0.55796933]"
34,367.799752,250,0,0.148790967464447,0,"[ 2.0857, 1.562 ,-2.0857,-0.0087, 1.8239]","[0.3321507 ,0.24665876,0.7779204 ]"
35,492.142357,250,0,0.148790967464447,0,"[ 2.0857   , 1.562    ,-0.7333262,-0.0087   , 1.8239   ]","[0.1771072 ,0.31394973,0.62520933]"
36,611.073179,250,0,0.148790967464447,0,"[ 2.0857, 1.562 , 2.0857,-0.0087, 1.8239]","[0.17758901,0.24681517,0.6744961 ]"
37,1030.577626,250,0,0.148790967464447,0,"[ 2.0857, 1.562 , 2.0857,-0.0087, 1.8239]","[0.07027674,0.38943464,0.62147355]"
38,515.977368,250,0,0.148790967464447,0,"[ 2.0857, 1.562 , 2.0857,-0.0087, 1.8239]","[-0.26221925, 0.19920883, 0.5654978 ]"
39,2821.8003,250,0,0.148790967464447,0,"[ 2.0857, 1.562 , 2.0857,-0.0087, 1.8239]","[0.00209984,0.5332942 ,0.96268237]"
40,889.081335,250,0,0.148790967464447,0,"[ 2.0857, 1.562 , 2.0857,-0.0087, 1.8239]","[-0.23916051, 0.4353784 , 1.1425533 ]"
