episode,total_reward,episode_length,is_success,curriculum_radius,consecutive_successes
1,-115.247508,250,0,0.10360972,0
2,-121.115466,250,0,0.10360972,0
3,-237.648022,250,0,0.10360972,0
4,-264.901642,250,0,0.10360972,0
5,-197.781414,250,0,0.10360972,0
6,-334.578497,250,0,0.10360972,0
7,-175.134075,250,0,0.10360972,0
8,-254.75651,250,0,0.10360972,0
9,-186.835409,250,0,0.10360972,0
10,-198.143435,250,0,0.10360972,0
11,-104.084011,250,0,0.10360972,0
12,-163.821274,250,0,0.10360972,0
13,-86.682007,250,0,0.10360972,0
14,-97.826195,250,0,0.10360972,0
15,-239.65547,250,0,0.10360972,0
16,-174.416956,250,0,0.10360972,0
17,26.746858,4,1,0.10360972,1
18,7.330096,51,1,0.10360972,2
19,11.538317,83,1,0.10360972,3
20,23.980034,20,1,0.10360972,4
21,-11.96606,147,1,0.15541458,0
22,-92.251225,250,0,0.15541458,0
23,-138.754528,250,0,0.15541458,0
24,-216.825622,250,0,0.15541458,0
25,-179.694485,250,0,0.15541458,0
26,-78.566583,250,0,0.15541458,0
27,-82.528489,250,0,0.15541458,0
28,10.244134,79,1,0.15541458,1
29,-129.606706,250,0,0.15541458,0
30,-207.992936,250,0,0.15541458,0
31,26.16205,14,1,0.15541458,1
32,-39.457666,170,1,0.15541458,2
33,-167.224683,250,0,0.15541458,0
34,-174.074434,250,0,0.15541458,0
35,-123.55897,250,0,0.15541458,0
36,26.398578,10,1,0.15541458,1
37,-292.980669,250,0,0.15541458,0
38,-152.21031,250,0,0.15541458,0
39,-92.484734,250,0,0.15541458,0
40,-222.267927,250,0,0.15541458,0
41,-185.817683,250,0,0.15541458,0
42,-211.993878,250,0,0.15541458,0
43,-219.074478,250,0,0.15541458,0
44,-79.053336,250,0,0.15541458,0
45,-125.667901,250,0,0.15541458,0
46,-189.879638,250,0,0.15541458,0
47,-273.292633,250,0,0.15541458,0
48,10.145946,65,1,0.15541458,1
49,-164.198207,250,0,0.15541458,0
50,-132.118481,250,0,0.15541458,0
51,24.543723,25,1,0.15541458,1
52,-199.830822,250,0,0.15541458,0
53,-148.633897,250,0,0.15541458,0
54,-141.843036,250,0,0.15541458,0
55,-94.52331,250,0,0.15541458,0
56,-107.822254,250,0,0.15541458,0
57,-126.574376,250,0,0.15541458,0
58,-63.933164,250,0,0.15541458,0
59,-117.939319,250,0,0.15541458,0
60,-102.363326,250,0,0.15541458,0
61,-236.898487,250,0,0.15541458,0
62,-213.982607,250,0,0.15541458,0
63,-124.653124,250,0,0.15541458,0
64,-103.518148,250,0,0.15541458,0
65,-132.585307,250,0,0.15541458,0
66,-96.972065,250,0,0.15541458,0
