episode,total_reward,episode_length,is_success,curriculum_radius,consecutive_successes
1,-213.721336,250,0,0.10360972,0
2,-106.670335,250,0,0.10360972,0
3,-218.24971,250,0,0.10360972,0
4,-234.093889,250,0,0.10360972,0
5,-193.408008,250,0,0.10360972,0
6,-173.218441,250,0,0.10360972,0
7,-179.64486,250,0,0.10360972,0
8,-157.127383,250,0,0.10360972,0
9,12.812173,120,1,0.10360972,1
10,-126.642335,250,0,0.10360972,0
11,-169.326911,250,0,0.10360972,0
12,-252.862848,250,0,0.10360972,0
13,-72.663752,250,0,0.10360972,0
14,-175.194614,250,0,0.10360972,0
15,-87.704887,250,0,0.10360972,0
16,-122.202962,250,0,0.10360972,0
17,16.182551,39,1,0.10360972,1
18,-140.20045,250,0,0.10360972,0
19,25.586461,2,1,0.10360972,1
20,-86.929663,250,0,0.10360972,0
21,-135.87197,250,0,0.10360972,0
22,-195.304753,250,0,0.10360972,0
23,-78.873132,250,0,0.10360972,0
24,-131.653485,250,0,0.10360972,0
25,-88.12337,250,0,0.10360972,0
26,25.231828,1,1,0.10360972,1
27,25.363644,2,1,0.10360972,2
28,25.614029,4,1,0.10360972,3
29,-169.234895,250,0,0.10360972,0
30,-57.041362,250,0,0.10360972,0
31,-160.532104,250,0,0.10360972,0
32,-85.008263,250,0,0.10360972,0
33,-123.593042,250,0,0.10360972,0
34,-69.040373,250,0,0.10360972,0
35,-126.867302,250,0,0.10360972,0
36,-154.008241,250,0,0.10360972,0
37,-170.409047,250,0,0.10360972,0
38,12.020654,102,1,0.10360972,1
39,-117.426238,250,0,0.10360972,0
40,-100.312678,250,0,0.10360972,0
41,-172.874942,250,0,0.10360972,0
42,-92.313463,250,0,0.10360972,0
43,-144.383938,250,0,0.10360972,0
44,-70.784708,250,0,0.10360972,0
45,24.234535,16,1,0.10360972,1
46,-73.595463,250,0,0.10360972,0
47,-86.964583,250,0,0.10360972,0
48,-154.441652,250,0,0.10360972,0
49,-42.345603,177,1,0.10360972,1
50,25.90658,13,1,0.10360972,2
51,7.628879,90,1,0.10360972,3
52,-166.217613,250,0,0.10360972,0
53,-106.172633,250,0,0.10360972,0
54,-73.170016,250,0,0.10360972,0
55,-94.609278,250,0,0.10360972,0
56,24.524214,9,1,0.10360972,1
57,-97.222763,250,0,0.10360972,0
58,-69.374615,250,0,0.10360972,0
59,-31.055381,135,1,0.10360972,1
60,-144.24193,250,0,0.10360972,0
61,-36.711446,194,1,0.10360972,1
62,-93.094075,250,0,0.10360972,0
63,-224.033032,250,0,0.10360972,0
64,25.545611,4,1,0.10360972,1
65,-110.242983,250,0,0.10360972,0
66,-147.464079,250,0,0.10360972,0
67,-116.682373,250,0,0.10360972,0
68,-24.802339,142,1,0.10360972,1
69,-108.177061,250,0,0.10360972,0
70,-141.614894,250,0,0.10360972,0
71,-89.392705,250,0,0.10360972,0
72,-127.944011,250,0,0.10360972,0
73,-161.723589,250,0,0.10360972,0
74,-125.776177,250,0,0.10360972,0
75,11.545759,35,1,0.10360972,1
76,-151.836886,250,0,0.10360972,0
