episode,total_reward,episode_length,is_success,curriculum_radius,consecutive_successes
1,7.433823,65,1,0.10033369,1
2,-187.790297,250,0,0.10033369,0
3,-130.371707,250,0,0.10033369,0
4,-154.549947,250,0,0.10033369,0
5,-225.90797,250,0,0.10033369,0
6,-238.655781,250,0,0.10033369,0
7,-258.760519,250,0,0.10033369,0
8,-175.881151,250,0,0.10033369,0
9,25.242172,1,1,0.10033369,1
10,-152.78129,250,0,0.10033369,0
11,-23.644031,131,1,0.10033369,1
12,-182.842348,250,0,0.10033369,0
13,-94.701575,250,0,0.10033369,0
14,-166.834406,250,0,0.10033369,0
15,-203.652713,250,0,0.10033369,0
16,-89.751944,250,0,0.10033369,0
17,-170.399693,250,0,0.10033369,0
18,24.376224,1,1,0.10033369,1
19,-166.756478,250,0,0.10033369,0
20,-114.694561,250,0,0.10033369,0
21,-194.144614,250,0,0.10033369,0
22,-121.636739,250,0,0.10033369,0
23,-120.578486,250,0,0.10033369,0
24,-111.515933,250,0,0.10033369,0
25,-155.44559,250,0,0.10033369,0
26,-220.245983,250,0,0.10033369,0
27,-181.791895,250,0,0.10033369,0
28,24.40348,15,1,0.10033369,1
29,-153.852158,250,0,0.10033369,0
30,-150.610414,250,0,0.10033369,0
31,-145.348531,250,0,0.10033369,0
32,-191.526636,250,0,0.10033369,0
33,-155.396127,250,0,0.10033369,0
34,-134.749625,250,0,0.10033369,0
35,-162.180292,250,0,0.10033369,0
36,-99.160252,250,0,0.10033369,0
37,-120.210549,250,0,0.10033369,0
38,-89.625063,214,1,0.10033369,1
39,-108.528725,250,0,0.10033369,0
40,-120.705142,250,0,0.10033369,0
41,-123.232694,250,0,0.10033369,0
42,-115.707564,250,0,0.10033369,0
43,-98.565669,250,0,0.10033369,0
44,26.162764,4,1,0.10033369,1
45,26.035339,7,1,0.10033369,2
46,-102.606403,250,0,0.10033369,0
47,19.988256,26,1,0.10033369,1
48,-78.382655,250,0,0.10033369,0
49,-101.60851,250,0,0.10033369,0
50,-149.492126,250,0,0.10033369,0
51,-116.095428,250,0,0.10033369,0
52,-159.375252,250,0,0.10033369,0
53,-126.876206,250,0,0.10033369,0
54,25.589853,8,1,0.10033369,1
55,-96.552847,250,0,0.10033369,0
56,-138.369822,250,0,0.10033369,0
57,-195.333659,250,0,0.10033369,0
58,-185.999693,250,0,0.10033369,0
59,24.779448,3,1,0.10033369,1
60,-101.320435,250,0,0.10033369,0
61,-104.805042,250,0,0.10033369,0
62,-191.265327,250,0,0.10033369,0
63,-173.792582,250,0,0.10033369,0
64,25.562351,5,1,0.10033369,1
65,-104.512878,250,0,0.10033369,0
66,-123.415243,250,0,0.10033369,0
67,-125.102021,250,0,0.10033369,0
68,-153.244945,250,0,0.10033369,0
69,-120.365997,250,0,0.10033369,0
70,-162.553294,250,0,0.10033369,0
71,-160.141316,250,0,0.10033369,0
72,-101.955013,250,0,0.10033369,0
73,-109.099765,250,0,0.10033369,0
74,-175.773968,250,0,0.10033369,0
75,-133.49752,250,0,0.10033369,0
76,-100.99628,250,0,0.10033369,0
77,26.531908,6,1,0.10033369,1
78,-99.679315,250,0,0.10033369,0
79,-86.585803,250,0,0.10033369,0
80,-67.237127,250,0,0.10033369,0
81,-89.398011,250,0,0.10033369,0
82,-74.653303,250,0,0.10033369,0
83,17.860598,14,1,0.10033369,1
84,-118.8779,250,0,0.10033369,0
85,-4.045509,84,1,0.10033369,1
86,-93.031551,250,0,0.10033369,0
87,-97.848337,250,0,0.10033369,0
88,-105.643297,250,0,0.10033369,0
89,-120.802505,250,0,0.10033369,0
90,-116.400171,250,0,0.10033369,0
91,-148.613201,250,0,0.10033369,0
92,-74.035104,250,0,0.10033369,0
93,19.177853,38,1,0.10033369,1
94,-241.85918,250,0,0.10033369,0
95,24.426842,17,1,0.10033369,1
96,-101.653786,250,0,0.10033369,0
97,-163.693706,250,0,0.10033369,0
98,-110.452065,250,0,0.10033369,0
99,-129.282844,250,0,0.10033369,0
100,-108.661496,250,0,0.10033369,0
101,21.480659,19,1,0.10033369,1
102,-150.516183,250,0,0.10033369,0
103,-98.569858,250,0,0.10033369,0
104,-70.360215,250,0,0.10033369,0
105,-76.510927,250,0,0.10033369,0
106,-87.232006,250,0,0.10033369,0
107,-226.286405,250,0,0.10033369,0
108,-83.358016,250,0,0.10033369,0
109,-83.334113,250,0,0.10033369,0
110,26.490773,3,1,0.10033369,1
111,-163.986449,250,0,0.10033369,0
112,21.327562,23,1,0.10033369,1
113,-153.663586,250,0,0.10033369,0
114,22.182856,24,1,0.10033369,1
115,25.702314,10,1,0.10033369,2
116,-119.271836,250,0,0.10033369,0
117,-83.767068,250,0,0.10033369,0
118,-112.498354,250,0,0.10033369,0
119,-96.834366,250,0,0.10033369,0
120,-100.748284,250,0,0.10033369,0
121,-148.513669,250,0,0.10033369,0
122,11.898766,65,1,0.10033369,1
123,25.893041,5,1,0.10033369,2
124,-81.164293,250,0,0.10033369,0
125,-118.445077,250,0,0.10033369,0
126,-203.333701,250,0,0.10033369,0
127,-192.1818,250,0,0.10033369,0
128,-184.882899,250,0,0.10033369,0
129,-140.365715,250,0,0.10033369,0
130,-101.443656,250,0,0.10033369,0
131,-86.437313,250,0,0.10033369,0
132,-142.932721,250,0,0.10033369,0
133,-40.054365,190,1,0.10033369,1
134,-119.736599,250,0,0.10033369,0
135,-139.199428,250,0,0.10033369,0
136,-55.071141,231,1,0.10033369,1
137,25.701091,3,1,0.10033369,2
138,-156.834858,250,0,0.10033369,0
139,-112.621837,250,0,0.10033369,0
140,23.281977,28,1,0.10033369,1
141,-76.224682,250,0,0.10033369,0
142,-127.153498,250,0,0.10033369,0
143,-87.617048,250,0,0.10033369,0
144,-130.174693,250,0,0.10033369,0
145,-130.190373,250,0,0.10033369,0
146,-145.07757,250,0,0.10033369,0
147,-175.630392,250,0,0.10033369,0
148,25.662231,2,1,0.10033369,1
149,-195.531686,250,0,0.10033369,0
150,-98.265976,250,0,0.10033369,0
151,-76.423373,250,0,0.10033369,0
152,-102.445764,250,0,0.10033369,0
153,26.385697,7,1,0.10033369,1
154,-121.292954,250,0,0.10033369,0
155,25.747964,3,1,0.10033369,1
156,25.506191,5,1,0.10033369,2
157,5.170146,86,1,0.10033369,3
158,-133.829652,250,0,0.10033369,0
159,-91.140056,250,0,0.10033369,0
160,-103.472834,250,0,0.10033369,0
161,-123.648763,250,0,0.10033369,0
162,-120.034811,250,0,0.10033369,0
163,-110.361055,250,0,0.10033369,0
164,-152.003369,250,0,0.10033369,0
165,9.06543,39,1,0.10033369,1
166,-117.164843,250,0,0.10033369,0
167,-66.530096,250,0,0.10033369,0
168,-72.414521,250,0,0.10033369,0
169,-1.689695,112,1,0.10033369,1
170,-92.792849,250,0,0.10033369,0
171,-114.538508,250,0,0.10033369,0
172,-122.343974,250,0,0.10033369,0
173,-139.855705,250,0,0.10033369,0
174,-152.872498,250,0,0.10033369,0
175,-31.290888,169,1,0.10033369,1
176,-124.164716,250,0,0.10033369,0
177,-144.247914,250,0,0.10033369,0
178,-61.597623,250,0,0.10033369,0
179,24.830156,1,1,0.10033369,1
180,-92.817194,250,0,0.10033369,0
181,-92.387056,250,0,0.10033369,0
182,-144.833263,250,0,0.10033369,0
183,19.449242,54,1,0.10033369,1
184,-83.329449,250,0,0.10033369,0
185,-6.204404,140,1,0.10033369,1
186,-90.826886,250,0,0.10033369,0
187,-153.723243,250,0,0.10033369,0
188,-65.03035,250,0,0.10033369,0
189,-203.171937,250,0,0.10033369,0
190,-137.593709,250,0,0.10033369,0
191,-120.835868,250,0,0.10033369,0
192,-80.328215,250,0,0.10033369,0
193,7.188598,64,1,0.10033369,1
194,24.649647,23,1,0.10033369,2
195,-79.617817,250,0,0.10033369,0
196,-114.145052,250,0,0.10033369,0
197,-58.6985,250,0,0.10033369,0
198,-109.070204,250,0,0.10033369,0
199,-160.9421,250,0,0.10033369,0
200,-84.026263,250,0,0.10033369,0
201,11.464588,77,1,0.10033369,1
202,-77.031252,250,0,0.10033369,0
203,-77.201539,250,0,0.10033369,0
204,-85.556615,250,0,0.10033369,0
205,-93.920534,250,0,0.10033369,0
206,-66.352291,250,0,0.10033369,0
207,-39.974652,250,0,0.10033369,0
208,-2.460715,97,1,0.10033369,1
209,25.693889,5,1,0.10033369,2
210,-149.739191,250,0,0.10033369,0
211,-80.96396,250,0,0.10033369,0
212,-7.935326,102,1,0.10033369,1
213,26.597107,3,1,0.10033369,2
214,-104.800492,250,0,0.10033369,0
215,-67.452428,250,0,0.10033369,0
216,-145.537354,250,0,0.10033369,0
217,-114.796862,250,0,0.10033369,0
218,-146.174134,250,0,0.10033369,0
219,-114.653855,250,0,0.10033369,0
220,2.591932,111,1,0.10033369,1
221,-4.318808,131,1,0.10033369,2
222,-100.307435,250,0,0.10033369,0
223,26.512134,7,1,0.10033369,1
224,-62.742875,250,0,0.10033369,0
225,-106.181729,250,0,0.10033369,0
226,-58.064429,250,0,0.10033369,0
227,-88.76784,250,0,0.10033369,0
228,-159.321682,250,0,0.10033369,0
229,13.58832,53,1,0.10033369,1
230,-79.80867,250,0,0.10033369,0
231,-50.837094,250,0,0.10033369,0
232,-141.661298,250,0,0.10033369,0
233,25.863251,5,1,0.10033369,1
234,-82.768417,250,0,0.10033369,0
235,-80.633918,250,0,0.10033369,0
236,15.910498,76,1,0.10033369,1
237,-115.519419,250,0,0.10033369,0
238,-144.493629,250,0,0.10033369,0
239,-88.431281,250,0,0.10033369,0
240,24.750186,21,1,0.10033369,1
241,-109.819113,250,0,0.10033369,0
242,-113.115709,250,0,0.10033369,0
243,0.289932,105,1,0.10033369,1
244,-95.353254,250,0,0.10033369,0
245,-127.343654,250,0,0.10033369,0
246,-83.286437,250,0,0.10033369,0
247,-59.03327,250,0,0.10033369,0
248,-98.306923,250,0,0.10033369,0
249,22.709424,29,1,0.10033369,1
250,22.886969,32,1,0.10033369,2
251,-74.441238,250,0,0.10033369,0
252,11.699135,44,1,0.10033369,1
253,-24.673549,229,1,0.10033369,2
254,-66.328547,250,0,0.10033369,0
255,-213.849254,250,0,0.10033369,0
256,-47.04787,250,0,0.10033369,0
257,-89.260999,250,0,0.10033369,0
258,-163.25574,250,0,0.10033369,0
259,-152.454306,250,0,0.10033369,0
260,26.293533,3,1,0.10033369,1
261,-59.566155,250,0,0.10033369,0
262,-51.217864,250,0,0.10033369,0
263,-76.527905,250,0,0.10033369,0
264,22.27993,6,1,0.10033369,1
265,-52.702644,250,0,0.10033369,0
266,-45.328532,250,0,0.10033369,0
267,8.033341,73,1,0.10033369,1
268,-81.058262,250,0,0.10033369,0
269,11.7126,52,1,0.10033369,1
270,-101.221101,250,0,0.10033369,0
271,-45.7006,250,0,0.10033369,0
272,-143.655136,250,0,0.10033369,0
273,13.721495,45,1,0.10033369,1
274,-118.879643,250,0,0.10033369,0
275,25.50369,17,1,0.10033369,1
276,14.706551,56,1,0.10033369,2
277,24.611045,10,1,0.10033369,3
278,-9.458727,105,1,0.10033369,4
279,-72.828472,250,0,0.10033369,0
280,8.863031,87,1,0.10033369,1
281,-67.127635,250,0,0.10033369,0
282,10.920635,82,1,0.10033369,1
283,-55.826295,250,0,0.10033369,0
284,-62.298139,250,0,0.10033369,0
285,-222.868281,250,0,0.10033369,0
286,-165.322103,250,0,0.10033369,0
287,-110.914566,250,0,0.10033369,0
288,5.777473,115,1,0.10033369,1
289,-90.975027,250,0,0.10033369,0
290,-124.277633,250,0,0.10033369,0
291,5.909155,74,1,0.10033369,1
292,-61.470148,250,0,0.10033369,0
293,25.477111,3,1,0.10033369,1
294,2.048756,89,1,0.10033369,2
295,25.574123,2,1,0.10033369,3
296,23.575007,24,1,0.10033369,4
297,-84.525823,250,0,0.10033369,0
298,-2.535885,156,1,0.10033369,1
299,17.428363,46,1,0.10033369,2
300,25.766781,2,1,0.10033369,3
301,-55.218492,250,0,0.10033369,0
302,-87.276296,250,0,0.10033369,0
303,-79.014084,250,0,0.10033369,0
304,-87.809204,250,0,0.10033369,0
305,-77.438174,250,0,0.10033369,0
306,-13.919041,167,1,0.10033369,1
307,-75.364977,250,0,0.10033369,0
308,24.922179,12,1,0.10033369,1
309,-115.182859,250,0,0.10033369,0
310,-8.603397,144,1,0.10033369,1
311,-154.470917,250,0,0.10033369,0
312,-100.944139,250,0,0.10033369,0
313,-25.042093,191,1,0.10033369,1
314,-7.665854,197,1,0.10033369,2
315,-94.237517,250,0,0.10033369,0
316,-63.436806,250,0,0.10033369,0
317,-115.205283,250,0,0.10033369,0
318,24.154273,8,1,0.10033369,1
319,-159.990683,250,0,0.10033369,0
320,16.656842,38,1,0.10033369,1
321,-97.819938,250,0,0.10033369,0
322,17.620016,58,1,0.10033369,1
323,-25.532334,210,1,0.10033369,2
324,-72.516254,250,0,0.10033369,0
325,25.889651,1,1,0.10033369,1
326,-98.540817,250,0,0.10033369,0
327,26.387946,6,1,0.10033369,1
328,-85.311609,250,0,0.10033369,0
329,-146.030647,250,0,0.10033369,0
330,-10.4001,205,1,0.10033369,1
331,-84.274125,250,0,0.10033369,0
332,-145.427947,250,0,0.10033369,0
333,11.921908,49,1,0.10033369,1
334,17.412963,47,1,0.10033369,2
335,10.998956,71,1,0.10033369,3
336,24.330802,21,1,0.10033369,4
337,-16.520775,154,1,0.15050054,0
338,-40.473142,175,1,0.15050054,1
339,26.972393,11,1,0.15050054,2
340,-203.259425,250,0,0.15050054,0
341,-70.838674,250,0,0.15050054,0
342,3.163199,127,1,0.15050054,1
343,-96.730765,250,0,0.15050054,0
344,1.853567,138,1,0.15050054,1
345,-14.312681,152,1,0.15050054,2
346,17.886623,42,1,0.15050054,3
347,-36.224388,250,0,0.15050054,0
348,3.405882,78,1,0.15050054,1
349,-60.55441,250,0,0.15050054,0
350,-84.988491,250,0,0.15050054,0
351,-59.523422,250,0,0.15050054,0
352,-118.476717,250,0,0.15050054,0
353,-74.838611,250,0,0.15050054,0
354,-79.683927,250,0,0.15050054,0
355,-143.410828,250,0,0.15050054,0
356,-96.977271,250,0,0.15050054,0
357,26.624579,3,1,0.15050054,1
358,24.586898,23,1,0.15050054,2
359,26.883532,11,1,0.15050054,3
360,-65.490603,250,0,0.15050054,0
361,13.586799,66,1,0.15050054,1
362,19.444196,51,1,0.15050054,2
363,-24.797378,139,1,0.15050054,3
364,-65.835343,250,0,0.15050054,0
365,-53.011094,250,0,0.15050054,0
366,-84.316737,250,0,0.15050054,0
367,-42.05723,250,0,0.15050054,0
368,-93.474646,250,0,0.15050054,0
369,-22.795092,204,1,0.15050054,1
370,-43.100754,250,0,0.15050054,0
371,-44.693087,250,0,0.15050054,0
372,-54.545276,250,0,0.15050054,0
373,-65.259714,250,0,0.15050054,0
374,-109.406888,250,0,0.15050054,0
375,-111.376164,250,0,0.15050054,0
376,11.87039,100,1,0.15050054,1
