#{"t_start": 1750435713.2216318, "env_id": "None"}
r,l,t
-175.881151,250,1.389-152--170.399693,250,2.6086-16--155.44559,250,3.8684--18-155.396127,250,5.7900-99.-115.707564,250,7.068-102.-116.095428,250,8.245-96.5-101.320435,250,9.5--104.5-120.365997,250,10.--109.09-99.679315,250,27.7--74.65-105.643297,250,29.--148.6-110.452065,250,30.2-12-108-226.286405,250,31.4837-83.-96.834366,250,32.7139-100-184.882899,250,33.9597-140-55.071141,231,35.1125-156.834858,250,35.30-130.1-145.07757,250,36.496-133-91.140056,250,53.5918--66-72.414521,250,54.74253-12-144.247914,250,56.06264-15-65.03035,250,57.461982
--109.070204,250,58.7853-66.-39.974652,250,59.9502-114-146.174134,250,61.2469-58-88.76784,250,62.42970-80-115.519419,250,79.7225-127-59.03327,250,85.944362-47.04787,250,87.065742
-45.328532,250,88.444034
-67.127635,250,90.266054
-124.277633,250,91.559892
-79.014084,250,92.823153
-100.944139,250,93.986414
-72.516254,250,111.035054
25.889651,1,111.036056
26.387946,6,111.067664
-70.838674,250,112.422967
-59.523422,250,113.617954
-53.011094,250,114.928973
-22.795092,204,115.850358
11.87039,100,116.405647
11.590646,72,116.7645
-13.007246,234,117.966948
4.537275,115,118.50129
18.273032,60,118.802173
-139.211637,250,120.165667
4.169475,88,120.57798
20.333076,46,120.7-85.067-101.989283,250,138.010999
-132.912176,250,139.17882
-28.800869,223,140.293928
-117.477262,250,141.459656
26.071418,18,141.557128
-108.450826,250,142.83554
-82.565218,250,144.010484
8.653852,82,144.522899
-96.985808,250,145.704612
17.45-81.959934,250,14-78.642805-119.537783,250,165.222229
-1.673078,119,165.782272
--104.989744,250,171.895554
--164.642111,250,173.056255-8-233.781485,250,174.23436-21-42.368429,250,175.900681-46.160261,250,176.235589
-57.779041,250,177.59069
-89.260344,250,178.792851
8.14452,108,-100.500737,-60.703721,250,197.646021
24.343951,21,197.754303
-26.217655,148-225.565178,2-53.095955,250,-47.86143,2513-64.23071,250,200.6242-86.9.611159,133,201.280235-44.242432,250,202.05767
-13.981843,215,203.166086
18.526127-371.519628,250,203.889033
-98.148964,250,205.23801
-122.824283,250,206.56447
-54.690024,106,207.156386
6.452214,-54.956851,250,2-78.046647,-54.817884,250,-157.068242,-218.803062,250,-1.130449,13-21.188225,95,-38.891492,2-98.972559,250,-50.570276,2-58.441295,250,-143.463941-27.790399,250,23-37.119854,250,233.050181
-144.21677,250,234.364109
2.670798,87,234.745509
9.786839,93,235.151678
-24.290541,176,2-37.592289,7.01619,108,253.-59.109371,250,259.167885
-10.594329,155,260.051013
-49.723266,250,261.568531
-82.45133,250,262.905799
24.0750-99.34693,250,264.-120.851-182.048792,250,265.940803
22.43479,42,266-55.04304,250,267.573617
-49.284489,250,268.768727
-1.370249,118,269.329552
-35.382992,250,286.763381
-61.289832,250,288.115665
4.182,54,288.401606
-76.812864,250,289.632036
22.792018,44-44.474-38.101321,250,290.767971
