time/total_timesteps,rollout/success_rate,time/fps,curriculum/radius,rollout/ep_len_mean,time/time_elapsed,time/iterations,rollout/ep_rew_mean,train/policy_gradient_loss,train/learning_rate,train/clip_range,train/clip_fraction,train/value_loss,train/n_updates,train/std,train/entropy_loss,train/explained_variance,train/loss,train/approx_kl,eval/mean_reward,eval/mean_ep_length,eval/success_rate
16384,0.16216216216216217,1467,0.10033369,215.94594594594594,11,1,-120.827051472973,,,,,,,,,,,,,,
32768,0.22,884,0.10033369,202.85,37,2,-94.26213814,-0.015179043245916546,7.591104805282687e-05,0.2560204063533433,0.094854736328125,7.376503544859588,10,0.9976814985275269,-7.088676663860679,-0.00580751895904541,2.0134117603302,0.015936185,,,
49152,0.26,776,0.10033369,200.58,63,3,-78.17713039000002,-0.014978763332510425,7.591104805282687e-05,0.2560204063533433,0.097802734375,7.383734503015876,20,0.9921591877937317,-7.067554868385196,0.0015088915824890137,7.157200813293457,0.018330175,,,
50000,False,,0.10033369,,,,,-0.01195536378181714,7.591104805282687e-05,0.2560204063533433,0.098724365234375,6.437151486519724,30,0.9845693707466125,-7.035705213621259,0.009302675724029541,4.659988880157471,0.016827047,-93.71223835,250.0,0.0
65536,0.38,687,0.10033369,179.63,95,4,-55.55962695,,,,,,,,,,,,,,
81920,0.45,674,0.20066738,175.81,121,5,-52.70449361000001,-0.012513990814977661,7.591104805282687e-05,0.2560204063533433,0.104937744140625,9.081011800747365,40,0.9795078039169312,-7.0044845305383205,0.14623993635177612,6.205923557281494,0.01787225,,,
98304,0.33,666,0.20066738,191.8,147,6,-66.53148252,-0.006479497938380518,7.591104805282687e-05,0.2560204063533433,0.07633056640625,11.819704295694828,50,0.9766225814819336,-6.983758071437478,0.0989730954170227,7.180731296539307,0.012247843,,,
100000,False,,0.20066738,,,,,-0.007900140179208393,7.591104805282687e-05,0.2560204063533433,0.0752197265625,7.838702568598092,60,0.9688167572021484,-6.953640360757708,0.33038973808288574,3.9102559089660645,0.013783846,-68.40101355,227.55,0.1
114688,0.47,635,0.25083423,179.72,180,7,-49.0852582,,,,,,,,,,,,,,
131072,0.62,629,0.50166845,158.38,208,8,-43.96279423,-0.007023214289620228,7.591104805282687e-05,0.2560204063533433,0.08341064453125,9.754438094422222,70,0.9657166600227356,-6.926281248778105,0.3589078187942505,5.99183988571167,0.013994489,,,
147456,0.4,626,0.50166845,196.07,235,9,-73.50108783,-0.0047980093978367225,7.591104805282687e-05,0.2560204063533433,0.069342041015625,14.621978400275111,80,0.9667428135871887,-6.920084267109632,0.31411778926849365,8.790101051330566,0.012204794,,,
150000,True,,0.50166845,,,,,-0.004333392694479699,7.591104805282687e-05,0.2560204063533433,0.0634765625,8.23806455573067,90,0.9575160145759583,-6.898853141069412,0.5514534115791321,4.692266464233398,0.010697927,-80.8486293,193.7,0.25
163840,0.43,608,0.50166845,185.42,269,10,-60.03098235999999,,,,,,,,,,,,,,
180224,0.44,608,0.50166845,181.27,296,11,-56.045610419999996,-0.006137353211397567,7.591104805282687e-05,0.2560204063533433,0.068292236328125,9.206534310244024,100,0.9514209628105164,-6.8594151113182305,0.49454420804977417,11.557912826538086,0.011462316,,,
196608,0.47,609,0.50166845,178.11,322,12,-62.53486867999999,-0.00495917535135959,7.591104805282687e-05,0.2560204063533433,0.067913818359375,9.959109603986144,110,0.9497309923171997,-6.838988501951098,0.5350881814956665,4.345099925994873,0.010530335,,,
200000,False,,0.50166845,,,,,-0.004969215853998321,7.591104805282687e-05,0.2560204063533433,0.0650634765625,10.710246193781495,120,0.9446686506271362,-6.819502975791693,0.5862607955932617,3.378282308578491,0.01011733,-86.36065239999999,193.45,0.25
212992,0.43,604,0.50166845,188.03,352,13,-55.71226806000001,,,,,,,,,,,,,,
229376,0.5,606,0.50166845,170.38,378,14,-53.09367948999999,-0.005723945323916268,7.591104805282687e-05,0.2560204063533433,0.07470703125,8.593336330354214,130,0.9338269233703613,-6.773020450025797,0.5536010265350342,7.233697891235352,0.011770082,,,
245760,0.53,607,0.50166845,161.78,404,15,-41.004681739999995,-0.005481740130380786,7.591104805282687e-05,0.2560204063533433,0.08255615234375,9.599352815002202,140,0.9289048910140991,-6.734937842935324,0.6005996465682983,4.496480941772461,0.013010474,,,
250000,False,,0.50166845,,,,,-0.003551016273922869,7.591104805282687e-05,0.2560204063533433,0.0651123046875,10.585612559691072,150,0.9266742467880249,-6.717055315524339,0.5451183319091797,3.015021800994873,0.009921646,-70.54852545,159.15,0.4
262144,0.4,604,0.50166845,183.12,433,16,-48.39884502999999,,,,,,,,,,,,,,
278528,0.45,604,0.50166845,175.76,460,17,-50.416118399999995,-0.0054533560773052155,7.591104805282687e-05,0.2560204063533433,0.081683349609375,7.621679415460676,160,0.9208542704582214,-6.693276645243168,0.5672934651374817,5.752146244049072,0.0120853055,,,
294912,0.4,603,0.50166845,185.0,488,18,-50.58233055999999,-0.004906987735830625,7.591104805282687e-05,0.2560204063533433,0.078375244140625,9.33911171965301,170,0.9133949279785156,-6.656107399985194,0.5789019465446472,4.310546875,0.012412393,,,
300000,True,,0.50166845,,,,,-0.004503685739564389,7.591104805282687e-05,0.2560204063533433,0.0703369140625,7.359001115057618,180,0.9094598889350891,-6.625557787716389,0.6516755223274231,11.03353500366211,0.010998653,-73.52544524999999,204.5,0.2
311296,0.49,599,0.50166845,164.94,519,19,-41.31180037,,,,,,,,,,,,,,
327680,0.51,600,0.50166845,159.07,545,20,-38.641261209999996,-0.004842422167348559,7.591104805282687e-05,0.2560204063533433,0.074542236328125,9.424883227888495,190,0.9023637771606445,-6.595119766891003,0.5068273544311523,7.063972473144531,0.013336162,,,
344064,0.55,602,0.50166845,151.85,571,21,-38.3582188,-0.00522899145462361,7.591104805282687e-05,0.2560204063533433,0.08511962890625,9.819275311380625,200,0.8984410166740417,-6.564624294638634,0.6401270627975464,5.193472862243652,0.0126957325,,,
350000,True,,0.50166845,,,,,-0.004084745936779655,7.591104805282687e-05,0.2560204063533433,0.072686767578125,10.867019357718528,210,0.8927178382873535,-6.536767315119505,0.6209251880645752,7.983313083648682,0.010959946,-54.7048145,182.15,0.3
360448,0.63,599,0.50166845,144.86,601,22,-20.566446980000002,,,,,,,,,,,,,,
376832,0.43,600,0.50166845,176.77,627,23,-39.990994199999996,-0.003257146673058742,7.591104805282687e-05,0.2560204063533433,0.069085693359375,12.040578952804207,220,0.8879238367080688,-6.5059823505580425,0.44723081588745117,10.548840522766113,0.011987171,,,
393216,0.37,601,0.50166845,180.55,654,24,-52.6123821,-0.006139243654979509,7.591104805282687e-05,0.2560204063533433,0.094036865234375,7.212304105889052,230,0.8837910890579224,-6.479289282113314,0.6759134531021118,2.8218789100646973,0.013272874,,,
