episode,total_reward,episode_length,is_success,curriculum_radius,consecutive_successes
1,-37.379203,150,1,0.10033369,1
2,-199.456613,250,0,0.10033369,0
3,-178.641106,250,0,0.10033369,0
4,-140.894987,250,0,0.10033369,0
5,-186.08307,250,0,0.10033369,0
6,-188.17018,250,0,0.10033369,0
7,-134.71006,250,0,0.10033369,0
8,-284.146399,250,0,0.10033369,0
9,-123.420136,250,0,0.10033369,0
10,-120.371014,250,0,0.10033369,0
11,-113.513042,250,0,0.10033369,0
12,-92.556603,250,0,0.10033369,0
13,-149.789672,250,0,0.10033369,0
14,-58.395384,250,0,0.10033369,0
15,-93.207589,250,0,0.10033369,0
16,-71.809311,250,0,0.10033369,0
17,1.549645,137,1,0.10033369,1
18,-163.765371,250,0,0.10033369,0
19,-128.81912,250,0,0.10033369,0
20,-202.908298,250,0,0.10033369,0
21,-64.983264,250,0,0.10033369,0
22,-89.470461,250,0,0.10033369,0
23,-192.867167,250,0,0.10033369,0
24,-80.432113,250,0,0.10033369,0
25,24.664571,6,1,0.10033369,1
26,-107.374517,250,0,0.10033369,0
27,-8.360868,147,1,0.10033369,1
28,-82.787131,250,0,0.10033369,0
29,17.85844,38,1,0.10033369,1
30,-128.078673,250,0,0.10033369,0
31,-116.119625,250,0,0.10033369,0
32,-82.188431,250,0,0.10033369,0
33,-130.476583,250,0,0.10033369,0
34,-142.939176,250,0,0.10033369,0
35,24.390826,12,1,0.10033369,1
36,-82.634755,250,0,0.10033369,0
37,-144.100253,250,0,0.10033369,0
38,24.287201,4,1,0.10033369,1
39,-253.274879,250,0,0.10033369,0
40,-88.574555,250,0,0.10033369,0
41,-53.083412,250,1,0.10033369,1
42,-83.857022,250,0,0.10033369,0
43,-146.039932,250,0,0.10033369,0
44,-141.421894,250,0,0.10033369,0
45,18.049923,51,1,0.10033369,1
46,-143.315193,250,0,0.10033369,0
47,-75.822369,250,0,0.10033369,0
48,-75.74057,250,0,0.10033369,0
49,-176.235648,250,0,0.10033369,0
50,-133.799399,250,0,0.10033369,0
51,-100.39074,250,0,0.10033369,0
52,-118.00422,250,0,0.10033369,0
53,19.970733,43,1,0.10033369,1
54,-117.829672,250,0,0.10033369,0
55,-96.892154,250,0,0.10033369,0
56,-143.397387,250,0,0.10033369,0
57,-105.164298,250,0,0.10033369,0
58,-124.442347,250,0,0.10033369,0
59,-112.690728,250,0,0.10033369,0
60,-86.511203,250,0,0.10033369,0
61,-76.825227,250,0,0.10033369,0
62,-176.649474,250,0,0.10033369,0
63,-119.483588,250,0,0.10033369,0
64,-100.267542,250,0,0.10033369,0
65,-218.813722,250,0,0.10033369,0
66,-127.92399,250,0,0.10033369,0
67,-99.584484,250,0,0.10033369,0
68,-124.085438,250,0,0.10033369,0
69,-144.1319,250,0,0.10033369,0
70,-96.731291,250,0,0.10033369,0
71,-120.711109,250,0,0.10033369,0
72,-70.233564,250,0,0.10033369,0
73,-160.673158,250,0,0.10033369,0
74,-110.943339,250,0,0.10033369,0
75,-85.879502,250,0,0.10033369,0
76,-189.405101,250,0,0.10033369,0
77,-54.213015,250,0,0.10033369,0
78,-168.749504,250,0,0.10033369,0
79,-114.829873,250,0,0.10033369,0
80,-156.382226,250,0,0.10033369,0
81,-155.126047,250,0,0.10033369,0
82,23.513881,11,1,0.10033369,1
83,-78.319463,250,0,0.10033369,0
84,-143.436688,250,0,0.10033369,0
85,-107.155483,250,0,0.10033369,0
86,-72.630393,250,0,0.10033369,0
87,-114.623699,250,0,0.10033369,0
88,-132.985406,250,0,0.10033369,0
89,-156.649141,250,0,0.10033369,0
90,-3.80578,113,1,0.10033369,1
91,23.588969,17,1,0.10033369,2
92,-83.963273,250,0,0.10033369,0
93,19.772821,60,1,0.10033369,1
94,-116.719015,250,0,0.10033369,0
95,-130.363748,250,0,0.10033369,0
96,-131.533928,250,0,0.10033369,0
97,24.398868,26,1,0.10033369,1
98,-99.24886,250,0,0.10033369,0
99,-115.942385,250,0,0.10033369,0
100,-20.485378,127,1,0.10033369,1
101,-71.254674,250,0,0.10033369,0
102,-147.441672,250,0,0.10033369,0
103,-129.428619,250,0,0.10033369,0
104,-187.658677,250,0,0.10033369,0
105,-158.05687,250,0,0.10033369,0
106,22.433477,12,1,0.10033369,1
107,21.366998,49,1,0.10033369,2
108,-131.880832,250,0,0.10033369,0
109,24.117926,21,1,0.10033369,1
110,-81.790962,250,0,0.10033369,0
111,-153.265076,250,0,0.10033369,0
112,-60.627525,250,0,0.10033369,0
113,25.202811,1,1,0.10033369,1
114,-66.591366,250,0,0.10033369,0
115,-126.426841,250,0,0.10033369,0
116,15.273777,72,1,0.10033369,1
117,-115.68134,250,0,0.10033369,0
118,-109.82122,250,0,0.10033369,0
119,-134.659582,250,0,0.10033369,0
120,-43.930112,250,0,0.10033369,0
121,-131.109995,250,0,0.10033369,0
122,-61.811913,250,0,0.10033369,0
123,25.35933,1,1,0.10033369,1
124,-99.192582,250,0,0.10033369,0
125,-138.253792,250,0,0.10033369,0
126,-79.548594,250,0,0.10033369,0
127,-71.75242,250,0,0.10033369,0
128,-91.903205,250,0,0.10033369,0
129,21.394173,38,1,0.10033369,1
130,-156.776746,250,0,0.10033369,0
131,-98.926283,250,0,0.10033369,0
132,24.80425,6,1,0.10033369,1
133,-61.741881,250,0,0.10033369,0
134,-15.143873,97,1,0.10033369,1
135,-87.981817,250,0,0.10033369,0
136,-144.591104,250,0,0.10033369,0
137,-121.54261,250,0,0.10033369,0
138,24.865717,5,1,0.10033369,1
139,-96.094325,250,0,0.10033369,0
140,-98.608755,250,0,0.10033369,0
141,-148.934269,250,0,0.10033369,0
142,-102.73243,250,0,0.10033369,0
143,-86.585091,250,0,0.10033369,0
144,-90.057999,250,0,0.10033369,0
145,-16.077871,112,1,0.10033369,1
146,25.783921,5,1,0.10033369,2
147,-73.538081,250,0,0.10033369,0
148,-97.365247,250,0,0.10033369,0
149,-126.790662,250,0,0.10033369,0
150,-48.880653,250,0,0.10033369,0
