#{"t_start": 1747816997.7497945, "env_id": "None"}
r,l,t
414.154798,200,5.040331
379.774416,200,5.479229
596.590276,200,6.143542
350.86841,200,6.584592
376.907384,200,7.017294
474.278869,200,7.378144
588.750736,200,7.752834
465.431917,200,8.137189
268.254112,200,8.494754
277.167828,200,8.903437
540.704236,200,12.959697
863.049454,200,13.325663
658.681812,200,13.679203
415.572173,200,14.118771
465.157349,200,14.558133
349.032014,200,14.944505
577.783408,200,15.328836
489.343248,200,15.676526
462.354589,200,16.053051
473.503033,200,16.429598
595.590256,133,20.279656
473.896261,200,20.716375
500.342898,200,21.143772
619.702053,200,21.699934
502.152543,200,22.230337
792.468547,117,22.506066
495.703081,200,22.939605
644.720405,200,23.306267
590.907431,200,23.705881
881.799253,200,24.116356
366.181092,200,24.865971
573.35401,200,28.858972
874.049317,200,29.261078
408.997616,200,29.711724
467.714186,200,30.179159
374.073978,200,30.570447
933.082339,200,30.919752
678.625902,200,31.286629
740.306359,200,31.704519
641.489986,200,32.072507
437.678696,200,32.550684
924.284962,200,36.453454
566.201529,200,36.819795
719.210331,200,37.425929
854.492015,200,37.836743
754.87984,200,38.242579
813.063269,200,38.626101
883.790769,200,38.974555
1162.411538,200,39.329104
1018.624656,200,40.042197
619.927297,200,40.63305
785.210192,200,44.84929
1544.060591,200,45.313791
1053.697804,200,45.749295
826.687046,200,46.11735
858.309355,200,46.527518
566.388344,200,46.940437
682.329813,200,47.335705
1077.895091,200,47.83644
732.946466,200,48.335353
976.854105,200,48.735733
1072.960755,200,49.117144
760.015903,128,52.955071
1363.626248,200,53.442808
1400.686006,200,53.915617
1359.285215,200,54.278327
723.765138,200,54.723081
769.852841,200,55.140613
403.966512,60,55.271505
759.309626,200,55.764328
857.338501,200,56.145459
837.675271,200,56.525251
1125.667396,200,56.917351
978.846613,200,60.699149
1266.13202,200,61.110477
877.429849,200,61.514962
1024.052185,200,61.897618
1194.542624,200,62.261175
1015.938243,200,62.627892
1052.77554,200,63.019841
1165.614334,200,63.481277
1045.369987,200,63.825362
429.489977,53,63.942299
1539.502147,200,64.327154
474.970025,82,64.479795
417.23423,200,68.824544
754.325153,200,69.238947
991.421453,144,69.499745
1050.908131,200,69.893262
744.487951,200,70.240719
870.619747,200,70.726738
945.453665,200,71.224022
945.421737,200,71.594262
906.833855,200,72.050273
962.857401,200,72.440184
713.107133,200,76.211209
1186.408817,200,76.62651
1164.439784,200,77.056339
1304.088904,200,77.451702
1443.47785,200,77.841375
988.087938,126,78.074747
363.127647,58,78.17736
709.761841,200,78.618119
1383.342441,200,79.055777
1211.141987,200,79.567374
586.967768,95,79.770738
1472.295731,200,80.120614
836.366728,128,83.956066
1185.247158,200,84.358398
803.618452,200,84.757011
589.310595,200,85.194324
988.579151,200,85.585829
1260.22201,200,85.970795
809.32953,200,86.460085
1154.903124,200,86.868219
982.164602,119,87.102078
1046.840762,200,87.515929
1067.761176,183,87.908922
998.788617,200,91.777496
792.899764,200,92.151401
871.754818,200,92.500212
650.789842,200,92.904481
933.166749,200,93.309296
745.977774,200,93.917951
1009.515179,200,94.388134
886.047706,200,94.767191
1067.532649,200,95.119015
1346.546938,200,95.536375
408.475244,65,95.714772
997.184532,200,99.548139
1005.847503,200,100.078021
950.930208,200,100.573571
957.183962,200,101.047745
1404.4385,200,101.398623
823.589998,200,101.835461
1167.57585,200,102.286244
1484.45491,200,102.731765
1283.125613,200,103.131995
1143.732054,200,103.534138
1423.45175,177,108.561867
1310.007294,200,109.040128
994.797418,200,109.424452
921.420542,200,109.772319
1137.351095,200,110.226012
1203.689451,200,110.653526
906.070794,200,111.038146
1173.748327,200,111.424417
739.797636,112,111.628468
1579.211477,200,112.04225
607.600487,90,112.228463
1115.414777,200,112.715758
